lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-176.5,-20.5,1/1/2007,12:00,2007,1,1,183.5,-176.5,-20.5,14,0,0,0.13,9.286,0,0,0,0,0,0,0,0,0.13,9.286,1/1/2007
-174.5,-21.5,1/1/2007,12:00,2007,1,1,185.5,-174.5,-21.5,16.5,0.087,5.273,0,0,0,0,0,0,0,0,0.235,14.242,0.322,19.515,1/1/2007
-175.5,-20.5,1/2/2007,12:00,2007,1,2,184.5,-175.5,-20.5,14,0.06,4.286,0.12,8.571,0,0,0,0,0,0,0.08,5.714,0.26,18.571,1/2/2007
-174.5,-20.5,1/2/2007,12:00,2007,1,2,185.5,-174.5,-20.5,16.5,0.14,8.485,0,0,0,0,0,0,0,0,0.268,16.242,0.408,24.727,1/2/2007
-176.5,-19.5,1/3/2007,12:00,2007,1,3,183.5,-176.5,-19.5,21,0.09,4.286,0.053,2.524,0,0,0,0,0,0,0.04,1.905,0.183,8.714,1/3/2007
-175.5,-20.5,1/3/2007,12:00,2007,1,3,184.5,-175.5,-20.5,14,0.015,1.071,0.12,8.571,0,0,0,0,0,0,0.04,2.857,0.175,12.5,1/3/2007
-176.5,-19.5,1/4/2007,12:00,2007,1,4,183.5,-176.5,-19.5,21,0.09,4.286,0.059,2.81,0,0,0,0,0,0,0,0,0.149,7.095,1/4/2007
-173.5,-20.5,1/4/2007,12:00,2007,1,4,186.5,-173.5,-20.5,25,0.09,3.6,0.025,1,0,0,0,0,0,0,0.125,5,0.24,9.6,1/4/2007
-176.5,-19.5,1/5/2007,12:00,2007,1,5,183.5,-176.5,-19.5,41,0.358,8.732,0.17,4.146,0,0,0,0,0,0,0.04,0.976,0.568,13.854,1/5/2007
-173.5,-19.5,1/5/2007,12:00,2007,1,5,186.5,-173.5,-19.5,25,0.42,16.8,0.06,2.4,0,0,0,0,0,0,0.06,2.4,0.54,21.6,1/5/2007
