lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-176.5,-19.5,1/1/2006,12:00,2006,1,1,183.5,-176.5,-19.5,18,0,0,0.04,2.222,0,0,0,0,0,0,0.07,3.889,0.11,6.111,1/1/2006
-174.5,-17.5,1/1/2006,12:00,2006,1,1,185.5,-174.5,-17.5,29,0.11,3.793,0.12,4.138,0,0,0,0,0,0,0.09,3.103,0.32,11.034,1/1/2006
-176.5,-20.5,1/2/2006,12:00,2006,1,2,183.5,-176.5,-20.5,18,0.13,7.222,0,0,0,0,0,0,0,0,0.03,1.667,0.16,8.889,1/2/2006
-175.5,-17.5,1/2/2006,12:00,2006,1,2,184.5,-175.5,-17.5,32,0.74,23.125,0.09,2.813,0,0,0,0,0,0,0.23,7.188,1.06,33.125,1/2/2006
-176.5,-20.5,1/3/2006,12:00,2006,1,3,183.5,-176.5,-20.5,18,0.11,6.111,0.03,1.667,0,0,0,0,0,0,0.07,3.889,0.21,11.667,1/3/2006
-175.5,-18.5,1/3/2006,12:00,2006,1,3,184.5,-175.5,-18.5,31,0.4,12.903,0.08,2.581,0,0,0,0,0,0,0.38,12.258,0.86,27.742,1/3/2006
-176.5,-20.5,1/4/2006,12:00,2006,1,4,183.5,-176.5,-20.5,18,0.24,13.333,0.04,2.222,0,0,0,0,0,0,0,0,0.28,15.556,1/4/2006
-175.5,-17.5,1/4/2006,12:00,2006,1,4,184.5,-175.5,-17.5,32,0.63,19.688,0.02,0.625,0,0,0,0,0,0,0.4,12.5,1.05,32.813,1/4/2006
-174.5,-21.5,1/4/2006,12:00,2006,1,4,185.5,-174.5,-21.5,16,0.18,11.25,0.25,15.625,0,0,0,0,0,0,0.415,25.938,0.845,52.813,1/4/2006
-176.5,-19.5,1/5/2006,12:00,2006,1,5,183.5,-176.5,-19.5,18,0.18,10,0.07,3.889,0,0,0,0,0,0,0.04,2.222,0.29,16.111,1/5/2006
-175.5,-19.5,1/5/2006,12:00,2006,1,5,184.5,-175.5,-19.5,50,0.855,17.1,0.17,3.4,0,0,0,0,0,0,0.355,7.1,1.38,27.6,1/5/2006
-175.5,-17.5,1/5/2006,12:00,2006,1,5,184.5,-175.5,-17.5,31,0.45,14.516,0.12,3.871,0,0,0,0,0,0,0.36,11.613,0.93,30,1/5/2006
-174.5,-21.5,1/5/2006,12:00,2006,1,5,185.5,-174.5,-21.5,16,0.2,12.5,0.125,7.813,0,0,0,0,0,0,0.305,19.063,0.63,39.375,1/5/2006
-176.5,-19.5,1/6/2006,12:00,2006,1,6,183.5,-176.5,-19.5,39,0.47,12.051,0.085,2.179,0,0,0,0,0,0,0.09,2.308,0.645,16.538,1/6/2006
-175.5,-24.5,1/6/2006,12:00,2006,1,6,184.5,-175.5,-24.5,14,0.03,2.143,0.09,6.429,0,0,0,0,0,0,0.04,2.857,0.16,11.429,1/6/2006
-175.5,-19.5,1/6/2006,12:00,2006,1,6,184.5,-175.5,-19.5,50,0.5,10,0.17,3.4,0,0,0,0,0,0,0.78,15.6,1.45,29,1/6/2006
-175.5,-18.5,1/6/2006,12:00,2006,1,6,184.5,-175.5,-18.5,34,0.38,11.176,0,0,0,0,0,0,0,0,0.3,8.824,0.68,20,1/6/2006
-174.5,-21.5,1/6/2006,12:00,2006,1,6,185.5,-174.5,-21.5,16,0.09,5.625,0.16,10,0,0,0,0,0,0,0.13,8.125,0.38,23.75,1/6/2006
-176.5,-19.5,1/7/2006,12:00,2006,1,7,183.5,-176.5,-19.5,39,0.2,5.128,0.11,2.821,0,0,0,0,0,0,0.1,2.564,0.41,10.513,1/7/2006
-175.5,-24.5,1/7/2006,12:00,2006,1,7,184.5,-175.5,-24.5,14,0.09,6.429,0.03,2.143,0,0,0,0,0,0,0.08,5.714,0.2,14.286,1/7/2006
-175.5,-19.5,1/7/2006,12:00,2006,1,7,184.5,-175.5,-19.5,47,0.45,9.574,0.23,4.894,0,0,0,0,0,0,0.25,5.319,0.93,19.787,1/7/2006
-175.5,-18.5,1/7/2006,12:00,2006,1,7,184.5,-175.5,-18.5,34,0.42,12.353,0,0,0,0,0,0,0,0,0.14,4.118,0.56,16.471,1/7/2006
-174.5,-21.5,1/7/2006,12:00,2006,1,7,185.5,-174.5,-21.5,16,0.17,10.625,0.335,20.938,0,0,0,0,0,0,0.17,10.625,0.675,42.188,1/7/2006
-176.5,-19.5,1/8/2006,12:00,2006,1,8,183.5,-176.5,-19.5,18,0.31,17.222,0.06,3.333,0,0,0,0,0,0,0.18,10,0.55,30.556,1/8/2006
-175.5,-24.5,1/8/2006,12:00,2006,1,8,184.5,-175.5,-24.5,12,0.015,1.25,0.06,5,0,0,0,0,0,0,0.04,3.333,0.115,9.583,1/8/2006
-175.5,-19.5,1/8/2006,12:00,2006,1,8,184.5,-175.5,-19.5,69,0.845,12.246,0.235,3.406,0,0,0,0,0,0,0.235,3.406,1.315,19.058,1/8/2006
-175.5,-18.5,1/8/2006,12:00,2006,1,8,184.5,-175.5,-18.5,59,0.44,7.458,0.07,1.186,0,0,0,0,0,0,0.45,7.627,0.96,16.271,1/8/2006
-176.5,-19.5,1/9/2006,12:00,2006,1,9,183.5,-176.5,-19.5,16,0.15,9.375,0.03,1.875,0,0,0,0,0,0,0,0,0.18,11.25,1/9/2006
-175.5,-24.5,1/9/2006,12:00,2006,1,9,184.5,-175.5,-24.5,12,0.015,1.25,0.09,7.5,0,0,0,0,0,0,0.04,3.333,0.145,12.083,1/9/2006
-175.5,-20.5,1/9/2006,12:00,2006,1,9,184.5,-175.5,-20.5,23,0.1,4.348,0.035,1.522,0,0,0,0,0,0,0.02,0.87,0.155,6.739,1/9/2006
-175.5,-19.5,1/9/2006,12:00,2006,1,9,184.5,-175.5,-19.5,48,0.483,10.063,0.085,1.771,0,0,0,0,0,0,0.31,6.458,0.878,18.292,1/9/2006
-175.5,-18.5,1/9/2006,12:00,2006,1,9,184.5,-175.5,-18.5,57,1.03,18.07,0.02,0.351,0,0,0,0,0,0,0.58,10.175,1.63,28.596,1/9/2006
-176.5,-20.5,1/10/2006,12:00,2006,1,10,183.5,-176.5,-20.5,11,0.05,4.545,0,0,0,0,0,0,0,0,0.03,2.727,0.08,7.273,1/10/2006
-176.5,-19.5,1/10/2006,12:00,2006,1,10,183.5,-176.5,-19.5,21,0.218,10.381,0.05,2.381,0,0,0,0,0,0,0.085,4.048,0.353,16.81,1/10/2006
-175.5,-20.5,1/10/2006,12:00,2006,1,10,184.5,-175.5,-20.5,23,0.35,15.217,0.04,1.739,0,0,0,0,0,0,0.24,10.435,0.63,27.391,1/10/2006
-175.5,-19.5,1/10/2006,12:00,2006,1,10,184.5,-175.5,-19.5,26.5,0.33,12.453,0,0,0,0,0,0,0,0,0.115,4.34,0.445,16.792,1/10/2006
-175.5,-18.5,1/10/2006,12:00,2006,1,10,184.5,-175.5,-18.5,56,0.515,9.196,0.045,0.804,0,0,0,0,0,0,0.32,5.714,0.88,15.714,1/10/2006
-176.5,-18.5,1/11/2006,12:00,2006,1,11,183.5,-176.5,-18.5,21,0.18,8.571,0.095,4.524,0,0,0,0,0,0,0.06,2.857,0.335,15.952,1/11/2006
-175.5,-20.5,1/11/2006,12:00,2006,1,11,184.5,-175.5,-20.5,18,0.35,19.444,0.06,3.333,0,0,0,0,0,0,0.1,5.556,0.51,28.333,1/11/2006
-175.5,-19.5,1/11/2006,12:00,2006,1,11,184.5,-175.5,-19.5,26,0.6,23.077,0,0,0,0,0,0,0,0,0.29,11.154,0.89,34.231,1/11/2006
-175.5,-20.5,1/12/2006,12:00,2006,1,12,184.5,-175.5,-20.5,60,0.975,16.25,0.11,1.833,0,0,0,0,0,0,0.65,10.833,1.735,28.917,1/12/2006
-175.5,-19.5,1/12/2006,12:00,2006,1,12,184.5,-175.5,-19.5,21,0.144,6.857,0.07,3.333,0,0,0,0,0,0,0.06,2.857,0.274,13.048,1/12/2006
-175.5,-25.5,1/14/2006,12:00,2006,1,14,184.5,-175.5,-25.5,14,0.06,4.286,0.4,28.571,0,0,0,0,0,0,0.1,7.143,0.56,40,1/14/2006
-176.5,-20.5,1/15/2006,12:00,2006,1,15,183.5,-176.5,-20.5,27,0.255,9.444,0.03,1.111,0,0,0,0,0,0,0.2,7.407,0.485,17.963,1/15/2006
-175.5,-25.5,1/15/2006,12:00,2006,1,15,184.5,-175.5,-25.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/15/2006
-175.5,-20.5,1/15/2006,12:00,2006,1,15,184.5,-175.5,-20.5,49,0.555,11.327,0.13,2.653,0,0,0,0,0,0,0.12,2.449,0.805,16.429,1/15/2006
-176.5,-20.5,1/16/2006,12:00,2006,1,16,183.5,-176.5,-20.5,50,1.22,24.4,0.02,0.4,0,0,0,0,0,0,0.19,3.8,1.43,28.6,1/16/2006
-175.5,-24.5,1/16/2006,12:00,2006,1,16,184.5,-175.5,-24.5,14,0.015,1.071,0.25,17.857,0,0,0,0,0,0,0.03,2.143,0.295,21.071,1/16/2006
-175.5,-20.5,1/16/2006,12:00,2006,1,16,184.5,-175.5,-20.5,26,0.435,16.731,0,0,0,0,0,0,0,0,0.05,1.923,0.485,18.654,1/16/2006
-174.5,-21.5,1/16/2006,12:00,2006,1,16,185.5,-174.5,-21.5,16,0.16,10,0.155,9.688,0,0,0,0,0,0,0.28,17.5,0.595,37.188,1/16/2006
-176.5,-20.5,1/17/2006,12:00,2006,1,17,183.5,-176.5,-20.5,76,1.325,17.434,0.065,0.855,0,0,0,0,0,0,0.145,1.908,1.535,20.197,1/17/2006
-175.5,-19.5,1/17/2006,12:00,2006,1,17,184.5,-175.5,-19.5,20,0.1,5,0,0,0,0,0,0,0,0,0,0,0.1,5,1/17/2006
-174.5,-21.5,1/17/2006,12:00,2006,1,17,185.5,-174.5,-21.5,16,0.08,5,0.04,2.5,0,0,0,0,0,0,0.1,6.25,0.22,13.75,1/17/2006
-176.5,-20.5,1/18/2006,12:00,2006,1,18,183.5,-176.5,-20.5,49.5,0.49,9.899,0.18,3.636,0,0,0,0,0,0,0,0,0.67,13.535,1/18/2006
