lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-176.5,-20.5,1/1/2013,12:00,2013,1,1,183.5,-176.5,-20.5,64,3.4,53.125,0.05,0.781,0,0,0,0,0,0,0,0,3.45,53.906,1/1/2013
-175.5,-20.5,1/1/2013,12:00,2013,1,1,184.5,-175.5,-20.5,16,0.3,18.75,0,0,0,0,0.01,0.625,0,0,0.16,10,0.47,29.375,1/1/2013
-175.5,-18.5,1/1/2013,12:00,2013,1,1,184.5,-175.5,-18.5,30,0.4,13.333,0.04,1.333,0,0,0,0,0,0,0,0,0.44,14.667,1/1/2013
-175.5,-17.5,1/1/2013,12:00,2013,1,1,184.5,-175.5,-17.5,101,1.419,14.05,0.348,3.446,0,0,0,0,0,0,0.318,3.149,2.085,20.644,1/1/2013
-175.5,-15.5,1/1/2013,12:00,2013,1,1,184.5,-175.5,-15.5,32,0.95,29.688,0,0,0,0,0,0,0,0,0.68,21.25,1.63,50.938,1/1/2013
-174.5,-21.5,1/1/2013,12:00,2013,1,1,185.5,-174.5,-21.5,23,0,0,0,0,0,0,0,0,0,0,0.8,34.783,0.8,34.783,1/1/2013
-174.5,-16.5,1/1/2013,12:00,2013,1,1,185.5,-174.5,-16.5,37,0.21,5.676,0.125,3.378,0,0,0,0,0,0,0.04,1.081,0.375,10.135,1/1/2013
-173.5,-18.5,1/1/2013,12:00,2013,1,1,186.5,-173.5,-18.5,30,0.49,16.333,0,0,0,0,0,0,0,0,0.098,3.267,0.588,19.6,1/1/2013
-173.5,-16.5,1/1/2013,12:00,2013,1,1,186.5,-173.5,-16.5,35,0.736,21.029,0.05,1.429,0,0,0.03,0.857,0,0,0.09,2.571,0.906,25.886,1/1/2013
-176.5,-20.5,1/2/2013,12:00,2013,1,2,183.5,-176.5,-20.5,64,1.9,29.688,0.09,1.406,0,0,0,0,0,0,0,0,1.99,31.094,1/2/2013
-176.5,-17.5,1/2/2013,12:00,2013,1,2,183.5,-176.5,-17.5,30,0.408,13.6,0.146,4.867,0,0,0,0,0,0,0,0,0.554,18.467,1/2/2013
-175.5,-20.5,1/2/2013,12:00,2013,1,2,184.5,-175.5,-20.5,16,0.4,25,0.1,6.25,0,0,0,0,0,0,0.2,12.5,0.7,43.75,1/2/2013
-175.5,-18.5,1/2/2013,12:00,2013,1,2,184.5,-175.5,-18.5,30,0.33,11,0,0,0,0,0,0,0,0,0.04,1.333,0.37,12.333,1/2/2013
-175.5,-17.5,1/2/2013,12:00,2013,1,2,184.5,-175.5,-17.5,71,0.713,10.042,0.141,1.986,0,0,0,0,0,0,0.438,6.169,1.292,18.197,1/2/2013
-175.5,-15.5,1/2/2013,12:00,2013,1,2,184.5,-175.5,-15.5,32,1.05,32.813,0.06,1.875,0,0,0,0,0,0,0.7,21.875,1.81,56.563,1/2/2013
-174.5,-21.5,1/2/2013,12:00,2013,1,2,185.5,-174.5,-21.5,23,0,0,0,0,0,0,0,0,0,0,0.96,41.739,0.96,41.739,1/2/2013
-174.5,-16.5,1/2/2013,12:00,2013,1,2,185.5,-174.5,-16.5,37,0.2,5.405,0,0,0,0,0,0,0,0,0,0,0.2,5.405,1/2/2013
-173.5,-18.5,1/2/2013,12:00,2013,1,2,186.5,-173.5,-18.5,30,0.584,19.467,0.068,2.267,0,0,0,0,0,0,0.387,12.9,1.039,34.633,1/2/2013
-173.5,-16.5,1/2/2013,12:00,2013,1,2,186.5,-173.5,-16.5,36,0.752,20.889,0.03,0.833,0,0,0,0,0,0,0.3,8.333,1.082,30.056,1/2/2013
-176.5,-20.5,1/3/2013,12:00,2013,1,3,183.5,-176.5,-20.5,131.5,4.28,32.548,0.104,0.791,0,0,0,0,0,0,0.142,1.08,4.526,34.418,1/3/2013
-175.5,-21.5,1/3/2013,12:00,2013,1,3,184.5,-175.5,-21.5,16,0.18,11.25,0.03,1.875,0,0,0,0,0,0,0.04,2.5,0.25,15.625,1/3/2013
-175.5,-18.5,1/3/2013,12:00,2013,1,3,184.5,-175.5,-18.5,33,0.374,11.333,0,0,0,0,0,0,0,0,0.746,22.606,1.12,33.939,1/3/2013
-175.5,-15.5,1/3/2013,12:00,2013,1,3,184.5,-175.5,-15.5,32,1.1,34.375,0.018,0.563,0,0,0,0,0,0,0.06,1.875,1.178,36.813,1/3/2013
-174.5,-21.5,1/3/2013,12:00,2013,1,3,185.5,-174.5,-21.5,23,0.02,0.87,0,0,0,0,0,0,0,0,2.04,88.696,2.06,89.565,1/3/2013
-174.5,-16.5,1/3/2013,12:00,2013,1,3,185.5,-174.5,-16.5,30,0.272,9.067,0.05,1.667,0,0,0,0,0,0,0.04,1.333,0.362,12.067,1/3/2013
-173.5,-18.5,1/3/2013,12:00,2013,1,3,186.5,-173.5,-18.5,30,0.832,27.733,0,0,0,0,0,0,0,0,0.05,1.667,0.882,29.4,1/3/2013
-173.5,-17.5,1/3/2013,12:00,2013,1,3,186.5,-173.5,-17.5,37,0.21,5.676,0,0,0,0,0,0,0,0,0.5,13.514,0.71,19.189,1/3/2013
-176.5,-20.5,1/4/2013,12:00,2013,1,4,183.5,-176.5,-20.5,163.5,3.806,23.278,0.408,2.495,0,0,0,0,0,0,0.248,1.517,4.462,27.291,1/4/2013
-176.5,-15.5,1/4/2013,12:00,2013,1,4,183.5,-176.5,-15.5,32,1,31.25,0.06,1.875,0,0,0,0,0,0,0.68,21.25,1.74,54.375,1/4/2013
-175.5,-18.5,1/4/2013,12:00,2013,1,4,184.5,-175.5,-18.5,33,0.324,9.818,0.062,1.879,0,0,0,0,0,0,0.323,9.788,0.709,21.485,1/4/2013
-175.5,-15.5,1/4/2013,12:00,2013,1,4,184.5,-175.5,-15.5,38,1.076,28.316,0.06,1.579,0,0,0,0,0,0,0.158,4.158,1.294,34.053,1/4/2013
-174.5,-21.5,1/4/2013,12:00,2013,1,4,185.5,-174.5,-21.5,23,0,0,0,0,0,0,0,0,0,0,3,130.435,3,130.435,1/4/2013
-174.5,-16.5,1/4/2013,12:00,2013,1,4,185.5,-174.5,-16.5,36,0.464,12.889,0.03,0.833,0,0,0,0,0,0,0.07,1.944,0.564,15.667,1/4/2013
-173.5,-18.5,1/4/2013,12:00,2013,1,4,186.5,-173.5,-18.5,60,0.877,14.617,0.271,4.517,0,0,0,0,0,0,0.518,8.633,1.666,27.767,1/4/2013
-173.5,-17.5,1/4/2013,12:00,2013,1,4,186.5,-173.5,-17.5,37,0.15,4.054,0,0,0,0,0,0,0,0,0.7,18.919,0.85,22.973,1/4/2013
-173.5,-14.5,1/4/2013,12:00,2013,1,4,186.5,-173.5,-14.5,21,0.252,12,0,0,0,0,0,0,0,0,0.03,1.429,0.282,13.429,1/4/2013
-176.5,-20.5,1/5/2013,12:00,2013,1,5,183.5,-176.5,-20.5,163.5,4.176,25.541,0.544,3.327,0,0,0,0,0,0,0.273,1.67,4.993,30.538,1/5/2013
-176.5,-15.5,1/5/2013,12:00,2013,1,5,183.5,-176.5,-15.5,70,0.56,8,0.083,1.186,0,0,0,0,0,0,0.426,6.086,1.069,15.271,1/5/2013
-175.5,-18.5,1/5/2013,12:00,2013,1,5,184.5,-175.5,-18.5,33,0.592,17.939,0.06,1.818,0,0,0,0,0,0,0.451,13.667,1.103,33.424,1/5/2013
-174.5,-21.5,1/5/2013,12:00,2013,1,5,185.5,-174.5,-21.5,32,0.27,8.438,0.14,4.375,0,0,0,0,0,0,5.3,165.625,5.71,178.438,1/5/2013
-174.5,-20.5,1/5/2013,12:00,2013,1,5,185.5,-174.5,-20.5,23,0,0,0,0,0,0,0,0,0,0,0.9,39.13,0.9,39.13,1/5/2013
-174.5,-16.5,1/5/2013,12:00,2013,1,5,185.5,-174.5,-16.5,32,0.368,11.5,0,0,0,0,0,0,0,0,1.44,45,1.808,56.5,1/5/2013
-173.5,-18.5,1/5/2013,12:00,2013,1,5,186.5,-173.5,-18.5,97,0.907,9.351,0.035,0.361,0,0,0,0,0,0,0.48,4.948,1.422,14.66,1/5/2013
-176.5,-20.5,1/6/2013,12:00,2013,1,6,183.5,-176.5,-20.5,163.5,2.78,17.003,0.164,1.003,0,0,0,0,0,0,0.375,2.294,3.319,20.3,1/6/2013
-176.5,-15.5,1/6/2013,12:00,2013,1,6,183.5,-176.5,-15.5,70,1.785,25.5,0.15,2.143,0,0,0,0,0,0,0.752,10.743,2.687,38.386,1/6/2013
-175.5,-18.5,1/6/2013,12:00,2013,1,6,184.5,-175.5,-18.5,33,0.221,6.697,0.06,1.818,0,0,0,0,0,0,0.45,13.636,0.731,22.152,1/6/2013
-174.5,-21.5,1/6/2013,12:00,2013,1,6,185.5,-174.5,-21.5,32,0.18,5.625,0,0,0,0,0,0,0,0,3.2,100,3.38,105.625,1/6/2013
-174.5,-20.5,1/6/2013,12:00,2013,1,6,185.5,-174.5,-20.5,23,0.02,0.87,0,0,0,0,0,0,0,0,1.5,65.217,1.52,66.087,1/6/2013
-173.5,-18.5,1/6/2013,12:00,2013,1,6,186.5,-173.5,-18.5,30,0.4,13.333,0.04,1.333,0,0,0,0,0,0,0.12,4,0.56,18.667,1/6/2013
-173.5,-16.5,1/6/2013,12:00,2013,1,6,186.5,-173.5,-16.5,35,0.24,6.857,0,0,0,0,0,0,0,0,0.06,1.714,0.3,8.571,1/6/2013
-176.5,-20.5,1/7/2013,12:00,2013,1,7,183.5,-176.5,-20.5,133.5,2.34,17.528,0.588,4.404,0,0,0,0,0,0,0.43,3.221,3.358,25.154,1/7/2013
-176.5,-19.5,1/7/2013,12:00,2013,1,7,183.5,-176.5,-19.5,33,0.578,17.515,0.025,0.758,0,0,0,0,0,0,0.095,2.879,0.698,21.152,1/7/2013
-176.5,-15.5,1/7/2013,12:00,2013,1,7,183.5,-176.5,-15.5,70,1.173,16.757,0.146,2.086,0,0,0,0,0,0,0.993,14.186,2.312,33.029,1/7/2013
-175.5,-20.5,1/7/2013,12:00,2013,1,7,184.5,-175.5,-20.5,30,0.72,24,0,0,0,0,0,0,0,0,0.946,31.533,1.666,55.533,1/7/2013
-174.5,-21.5,1/7/2013,12:00,2013,1,7,185.5,-174.5,-21.5,51.08,0.03,0.587,0.1,1.958,0,0,0.01,0.196,0,0,1.97,38.567,2.11,41.308,1/7/2013
-173.5,-20.5,1/7/2013,12:00,2013,1,7,186.5,-173.5,-20.5,67,1.589,23.716,0.12,1.791,0,0,0,0,0,0,0.289,4.313,1.998,29.821,1/7/2013
-173.5,-19.5,1/7/2013,12:00,2013,1,7,186.5,-173.5,-19.5,30,0.16,5.333,0.04,1.333,0,0,0,0,0,0,0,0,0.2,6.667,1/7/2013
-173.5,-16.5,1/7/2013,12:00,2013,1,7,186.5,-173.5,-16.5,30,0.16,5.333,0,0,0,0,0,0,0,0,0.21,7,0.37,12.333,1/7/2013
