lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-175.5,-20.5,1/2/2010,12:00,2010,1,2,184.5,-175.5,-20.5,29.5,0.962,32.61,0.213,7.22,0,0,0,0,0,0,0.512,17.356,1.687,57.186,1/2/2010
-176.5,-18.5,1/3/2010,12:00,2010,1,3,183.5,-176.5,-18.5,21,0.12,5.714,0.095,4.524,0,0,0,0,0,0,0,0,0.215,10.238,1/3/2010
-175.5,-20.5,1/3/2010,12:00,2010,1,3,184.5,-175.5,-20.5,15,0.44,29.333,0.126,8.4,0,0,0,0,0,0,0.213,14.2,0.779,51.933,1/3/2010
-175.5,-20.5,1/4/2010,12:00,2010,1,4,184.5,-175.5,-20.5,30,0.973,32.433,0.126,4.2,0,0,0,0,0,0,0.325,10.833,1.424,47.467,1/4/2010
-176.5,-20.5,1/5/2010,12:00,2010,1,5,183.5,-176.5,-20.5,21,0.13,6.19,0,0,0,0,0,0,0,0,0.069,3.286,0.199,9.476,1/5/2010
-175.5,-20.5,1/5/2010,12:00,2010,1,5,184.5,-175.5,-20.5,30,0.79,26.333,0.063,2.1,0,0,0,0,0,0,0.159,5.3,1.012,33.733,1/5/2010
-176.5,-20.5,1/6/2010,12:00,2010,1,6,183.5,-176.5,-20.5,21,0.1,4.762,0.035,1.667,0,0,0,0,0,0,0,0,0.135,6.429,1/6/2010
-175.5,-20.5,1/6/2010,12:00,2010,1,6,184.5,-175.5,-20.5,31,0.756,24.387,0.087,2.806,0,0,0,0,0,0,0.191,6.161,1.034,33.355,1/6/2010
-176.5,-20.5,1/7/2010,12:00,2010,1,7,183.5,-176.5,-20.5,21,0.068,3.238,0.04,1.905,0,0,0,0,0,0,0,0,0.108,5.143,1/7/2010
-175.5,-20.5,1/7/2010,12:00,2010,1,7,184.5,-175.5,-20.5,31,0.692,22.323,0.222,7.161,0,0,0,0,0,0,0.198,6.387,1.112,35.871,1/7/2010
-174.5,-19.5,1/8/2010,12:00,2010,1,8,185.5,-174.5,-19.5,18,0.051,2.833,0,0,0,0,0,0,0,0,0.712,39.556,0.763,42.389,1/8/2010
-175.5,-20.5,1/10/2010,12:00,2010,1,10,184.5,-175.5,-20.5,21,0.18,8.571,0.04,1.905,0,0,0,0,0,0,0.09,4.286,0.31,14.762,1/10/2010
-174.5,-19.5,1/10/2010,12:00,2010,1,10,185.5,-174.5,-19.5,18,0.154,8.556,0.209,11.611,0,0,0,0,0,0,0.15,8.333,0.513,28.5,1/10/2010
-175.5,-19.5,1/11/2010,12:00,2010,1,11,184.5,-175.5,-19.5,20.5,0.12,5.854,0.03,1.463,0,0,0,0,0,0,0.12,5.854,0.27,13.171,1/11/2010
-174.5,-19.5,1/11/2010,12:00,2010,1,11,185.5,-174.5,-19.5,18,0.077,4.278,0,0,0,0,0,0,0,0,0.438,24.333,0.515,28.611,1/11/2010
-175.5,-20.5,1/12/2010,12:00,2010,1,12,184.5,-175.5,-20.5,15.4,0.13,8.442,0,0,0,0,0,0,0,0,0.101,6.558,0.231,15,1/12/2010
-175.5,-19.5,1/12/2010,12:00,2010,1,12,184.5,-175.5,-19.5,20,0.165,8.25,0.03,1.5,0,0,0,0,0,0,0.1,5,0.295,14.75,1/12/2010
-174.5,-19.5,1/12/2010,12:00,2010,1,12,185.5,-174.5,-19.5,18,0.102,5.667,0,0,0,0,0,0,0,0,0.219,12.167,0.321,17.833,1/12/2010
-174.5,-16.5,1/12/2010,12:00,2010,1,12,185.5,-174.5,-16.5,33,0.36,10.909,0.09,2.727,0,0,0,0,0,0,0.26,7.879,0.71,21.515,1/12/2010
-175.5,-19.5,1/13/2010,12:00,2010,1,13,184.5,-175.5,-19.5,53.4,0.467,8.745,0.066,1.236,0,0,0,0,0,0,0.374,7.004,0.907,16.985,1/13/2010
-175.5,-20.5,1/14/2010,12:00,2010,1,14,184.5,-175.5,-20.5,11,0,0,0.088,8,0,0,0,0,0,0,0,0,0.088,8,1/14/2010
-175.5,-19.5,1/14/2010,12:00,2010,1,14,184.5,-175.5,-19.5,19.5,0.045,2.308,0,0,0,0,0,0,0,0,0.04,2.051,0.085,4.359,1/14/2010
-175.5,-16.5,1/14/2010,12:00,2010,1,14,184.5,-175.5,-16.5,34,0.54,15.882,0.015,0.441,0,0,0,0,0,0,0.474,13.941,1.029,30.265,1/14/2010
-174.5,-18.5,1/14/2010,12:00,2010,1,14,185.5,-174.5,-18.5,15.4,0.22,14.286,0,0,0,0,0,0,0,0,0.091,5.909,0.311,20.195,1/14/2010
-174.5,-19.5,1/15/2010,12:00,2010,1,15,185.5,-174.5,-19.5,15.4,0.18,11.688,0.025,1.623,0,0,0,0,0,0,0.397,25.779,0.602,39.091,1/15/2010
-175.5,-19.5,1/16/2010,12:00,2010,1,16,184.5,-175.5,-19.5,15.4,0.305,19.805,0.075,4.87,0,0,0,0,0,0,0.244,15.844,0.624,40.519,1/16/2010
-175.5,-20.5,1/17/2010,12:00,2010,1,17,184.5,-175.5,-20.5,15.4,0.255,16.558,0,0,0,0,0,0,0,0,0.162,10.519,0.417,27.078,1/17/2010
-174.5,-20.5,1/21/2010,12:00,2010,1,21,185.5,-174.5,-20.5,15.6,0.194,12.436,0,0,0,0,0,0,0,0,0.178,11.41,0.372,23.846,1/21/2010
-172.5,-15.5,1/21/2010,12:00,2010,1,21,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/21/2010
-175.5,-21.5,1/22/2010,12:00,2010,1,22,184.5,-175.5,-21.5,15.6,0.299,19.167,0.047,3.013,0,0,0,0,0,0,0.16,10.256,0.506,32.436,1/22/2010
-172.5,-15.5,1/22/2010,12:00,2010,1,22,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/22/2010
-175.5,-21.5,1/23/2010,12:00,2010,1,23,184.5,-175.5,-21.5,15.6,0.183,11.731,0,0,0,0,0,0,0,0,0.044,2.821,0.227,14.551,1/23/2010
-172.5,-15.5,1/23/2010,12:00,2010,1,23,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/23/2010
-174.5,-21.5,1/24/2010,12:00,2010,1,24,185.5,-174.5,-21.5,15.6,0.194,12.436,0,0,0,0,0,0,0,0,0.178,11.41,0.372,23.846,1/24/2010
-172.5,-15.5,1/24/2010,12:00,2010,1,24,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/24/2010
-174.5,-21.5,1/25/2010,12:00,2010,1,25,185.5,-174.5,-21.5,15.6,0.21,13.462,0,0,0,0,0,0,0,0,0.133,8.526,0.343,21.987,1/25/2010
-172.5,-15.5,1/25/2010,12:00,2010,1,25,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/25/2010
-174.5,-21.5,1/26/2010,12:00,2010,1,26,185.5,-174.5,-21.5,15.6,0.178,11.41,0.094,6.026,0,0,0,0,0,0,0.293,18.782,0.565,36.218,1/26/2010
-172.5,-15.5,1/26/2010,12:00,2010,1,26,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/26/2010
-172.5,-15.5,1/27/2010,12:00,2010,1,27,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/27/2010
-175.5,-20.5,1/28/2010,12:00,2010,1,28,184.5,-175.5,-20.5,21,0.105,5,0.04,1.905,0,0,0,0,0,0,0.24,11.429,0.385,18.333,1/28/2010
-172.5,-15.5,1/28/2010,12:00,2010,1,28,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0,0,0,0,0.037,1.609,0.519,22.565,1/28/2010
-175.5,-20.5,1/29/2010,12:00,2010,1,29,184.5,-175.5,-20.5,21,0.18,8.571,0.04,1.905,0,0,0,0,0,0,0.06,2.857,0.28,13.333,1/29/2010
-172.5,-15.5,1/29/2010,12:00,2010,1,29,187.5,-172.5,-15.5,23,0.482,20.957,0,0,0,0,0.083,3.609,0,0,0.037,1.609,0.602,26.174,1/29/2010
-175.5,-20.5,1/30/2010,12:00,2010,1,30,184.5,-175.5,-20.5,20,0.135,6.75,0,0,0,0,0,0,0,0,0,0,0.135,6.75,1/30/2010
-174.5,-20.5,1/30/2010,12:00,2010,1,30,185.5,-174.5,-20.5,14.8,0.26,17.568,0.04,2.703,0,0,0,0,0,0,0.17,11.486,0.47,31.757,1/30/2010
-175.5,-20.5,1/31/2010,12:00,2010,1,31,184.5,-175.5,-20.5,20,0.255,12.75,0,0,0,0,0,0,0,0,0.18,9,0.435,21.75,1/31/2010
-174.5,-20.5,1/31/2010,12:00,2010,1,31,185.5,-174.5,-20.5,14.8,0.22,14.865,0.08,5.405,0,0,0,0,0,0,0.3,20.27,0.6,40.541,1/31/2010
-175.5,-20.5,2/1/2010,12:00,2010,2,1,184.5,-175.5,-20.5,19.5,0.285,14.615,0.08,4.103,0,0,0,0,0,0,0.03,1.538,0.395,20.256,2/1/2010
-174.5,-20.5,2/1/2010,12:00,2010,2,1,185.5,-174.5,-20.5,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/1/2010
-175.5,-20.5,2/2/2010,12:00,2010,2,2,184.5,-175.5,-20.5,19.5,0.105,5.385,0.12,6.154,0,0,0,0,0,0,0.03,1.538,0.255,13.077,2/2/2010
-174.5,-21.5,2/2/2010,12:00,2010,2,2,185.5,-174.5,-21.5,15.6,0.145,9.295,0.05,3.205,0,0,0,0,0,0,0.175,11.218,0.37,23.718,2/2/2010
-174.5,-21.5,2/3/2010,12:00,2010,2,3,185.5,-174.5,-21.5,15.6,0,0,0,0,0,0,0,0,0,0,0.02,1.282,0.02,1.282,2/3/2010
-175.5,-20.5,2/4/2010,12:00,2010,2,4,184.5,-175.5,-20.5,20,0.342,17.1,0,0,0,0,0,0,0,0,0,0,0.342,17.1,2/4/2010
-174.5,-20.5,2/5/2010,12:00,2010,2,5,185.5,-174.5,-20.5,20,0.126,6.3,0,0,0,0,0,0,0,0,0.03,1.5,0.156,7.8,2/5/2010
-175.5,-20.5,2/7/2010,12:00,2010,2,7,184.5,-175.5,-20.5,20,0.144,7.2,0,0,0,0,0,0,0,0,0,0,0.144,7.2,2/7/2010
-175.5,-20.5,2/8/2010,12:00,2010,2,8,184.5,-175.5,-20.5,20,0.162,8.1,0,0,0,0,0,0,0,0,0.06,3,0.222,11.1,2/8/2010
-175.5,-20.5,2/9/2010,12:00,2010,2,9,184.5,-175.5,-20.5,20,0.162,8.1,0,0,0,0,0,0,0,0,0.06,3,0.222,11.1,2/9/2010
-174.5,-21.5,2/9/2010,12:00,2010,2,9,185.5,-174.5,-21.5,22,0.075,3.409,0,0,0,0,0,0,0,0,0.085,3.864,0.16,7.273,2/9/2010
-175.5,-20.5,2/10/2010,12:00,2010,2,10,184.5,-175.5,-20.5,20,0.018,0.9,0,0,0,0,0,0,0,0,0,0,0.018,0.9,2/10/2010
-174.5,-21.5,2/10/2010,12:00,2010,2,10,185.5,-174.5,-21.5,22,0.12,5.455,0,0,0,0,0,0,0,0,0.04,1.818,0.16,7.273,2/10/2010
-175.5,-20.5,2/11/2010,12:00,2010,2,11,184.5,-175.5,-20.5,20,0.072,3.6,0,0,0,0,0,0,0,0,0,0,0.072,3.6,2/11/2010
-174.5,-21.5,2/11/2010,12:00,2010,2,11,185.5,-174.5,-21.5,22,0.045,2.045,0,0,0,0,0,0,0,0,0.02,0.909,0.065,2.955,2/11/2010
-174.5,-20.5,2/12/2010,12:00,2010,2,12,185.5,-174.5,-20.5,22,0.02,0.909,0,0,0,0,0,0,0,0,0.16,7.273,0.18,8.182,2/12/2010
-174.5,-20.5,2/13/2010,12:00,2010,2,13,185.5,-174.5,-20.5,21.5,0,0,0,0,0,0,0,0,0,0,0.04,1.86,0.04,1.86,2/13/2010
-175.5,-20.5,2/19/2010,12:00,2010,2,19,184.5,-175.5,-20.5,16.5,0.07,4.242,0,0,0,0,0,0,0,0,0.08,4.848,0.15,9.091,2/19/2010
-175.5,-19.5,2/19/2010,12:00,2010,2,19,184.5,-175.5,-19.5,20,0.034,1.7,0,0,0,0,0,0,0,0,0.15,7.5,0.184,9.2,2/19/2010
-176.5,-20.5,2/20/2010,12:00,2010,2,20,183.5,-176.5,-20.5,16.5,0.04,2.424,0,0,0,0,0,0,0,0,0.03,1.818,0.07,4.242,2/20/2010
-175.5,-21.5,2/20/2010,12:00,2010,2,20,184.5,-175.5,-21.5,20,0,0,0.025,1.25,0,0,0,0,0,0,0.05,2.5,0.075,3.75,2/20/2010
-175.5,-19.5,2/20/2010,12:00,2010,2,20,184.5,-175.5,-19.5,20,0.102,5.1,0.03,1.5,0,0,0,0,0,0,0.29,14.5,0.422,21.1,2/20/2010
-172.5,-15.5,2/20/2010,12:00,2010,2,20,187.5,-172.5,-15.5,38,0.576,15.158,0.02,0.526,0,0,0,0,0,0,0.03,0.789,0.626,16.474,2/20/2010
-172.5,-15.5,2/21/2010,12:00,2010,2,21,187.5,-172.5,-15.5,38,0.63,16.579,0.04,1.053,0,0,0,0,0,0,0.12,3.158,0.79,20.789,2/21/2010
-174.5,-21.5,2/22/2010,12:00,2010,2,22,185.5,-174.5,-21.5,20,0.015,0.75,0,0,0,0,0,0,0,0,0.02,1,0.035,1.75,2/22/2010
-174.5,-18.5,2/22/2010,12:00,2010,2,22,185.5,-174.5,-18.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/2010
-174.5,-22.5,2/23/2010,12:00,2010,2,23,185.5,-174.5,-22.5,19,0.12,6.316,0,0,0,0,0,0,0,0,0,0,0.12,6.316,2/23/2010
-174.5,-20.5,2/23/2010,12:00,2010,2,23,185.5,-174.5,-20.5,16.5,0.11,6.667,0.03,1.818,0,0,0,0,0,0,0.065,3.939,0.205,12.424,2/23/2010
-172.5,-16.5,2/23/2010,12:00,2010,2,23,187.5,-172.5,-16.5,38,0.63,16.579,0.015,0.395,0,0,0,0,0,0,0.15,3.947,0.795,20.921,2/23/2010
-175.5,-17.5,2/24/2010,12:00,2010,2,24,184.5,-175.5,-17.5,20,0.017,0.85,0,0,0,0,0,0,0,0,0.42,21,0.437,21.85,2/24/2010
-174.5,-21.5,2/24/2010,12:00,2010,2,24,185.5,-174.5,-21.5,35.5,0.54,15.211,0,0,0,0,0,0,0,0,0,0,0.54,15.211,2/24/2010
-174.5,-21.5,2/25/2010,12:00,2010,2,25,185.5,-174.5,-21.5,18,0.09,5,0,0,0,0,0,0,0,0,0,0,0.09,5,2/25/2010
-174.5,-20.5,2/25/2010,12:00,2010,2,25,185.5,-174.5,-20.5,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/25/2010
-174.5,-19.5,2/25/2010,12:00,2010,2,25,185.5,-174.5,-19.5,20,0.068,3.4,0.12,6,0,0,0,0,0,0,0.09,4.5,0.278,13.9,2/25/2010
-174.5,-21.5,2/26/2010,12:00,2010,2,26,185.5,-174.5,-21.5,34.5,0.09,2.609,0,0,0,0,0,0,0,0,0.06,1.739,0.15,4.348,2/26/2010
-173.5,-18.5,3/6/2010,12:00,2010,3,6,186.5,-173.5,-18.5,16.5,0.09,5.455,0,0,0,0,0,0,0,0,0.125,7.576,0.215,13.03,3/6/2010
-175.5,-21.5,3/7/2010,12:00,2010,3,7,184.5,-175.5,-21.5,20,0.135,6.75,0.02,1,0,0,0,0,0,0,0.02,1,0.175,8.75,3/7/2010
-174.5,-18.5,3/7/2010,12:00,2010,3,7,185.5,-174.5,-18.5,16.5,0,0,0,0,0,0,0,0,0,0,0.075,4.545,0.075,4.545,3/7/2010
-175.5,-21.5,3/8/2010,12:00,2010,3,8,184.5,-175.5,-21.5,20,0.075,3.75,0.1,5,0,0,0,0,0,0,0,0,0.175,8.75,3/8/2010
-174.5,-18.5,3/8/2010,12:00,2010,3,8,185.5,-174.5,-18.5,16,0.12,7.5,0.04,2.5,0,0,0,0,0,0,0.025,1.563,0.185,11.563,3/8/2010
-175.5,-21.5,3/9/2010,12:00,2010,3,9,184.5,-175.5,-21.5,19,0.135,7.105,0.04,2.105,0,0,0,0,0,0,0,0,0.175,9.211,3/9/2010
-175.5,-19.5,3/9/2010,12:00,2010,3,9,184.5,-175.5,-19.5,16,0.18,11.25,0.08,5,0,0,0,0,0,0,0.285,17.813,0.545,34.063,3/9/2010
-176.5,-21.5,3/10/2010,12:00,2010,3,10,183.5,-176.5,-21.5,19,0.105,5.526,0,0,0,0,0,0,0,0,0.1,5.263,0.205,10.789,3/10/2010
-175.5,-19.5,3/10/2010,12:00,2010,3,10,184.5,-175.5,-19.5,16,0.2,12.5,0.09,5.625,0,0,0,0,0,0,0.28,17.5,0.57,35.625,3/10/2010
-176.5,-19.5,3/11/2010,12:00,2010,3,11,183.5,-176.5,-19.5,29,0.21,7.241,0.1,3.448,0,0,0,0,0,0,0.1,3.448,0.41,14.138,3/11/2010
-175.5,-21.5,3/11/2010,12:00,2010,3,11,184.5,-175.5,-21.5,19.5,0.09,4.615,0.02,1.026,0,0,0,0,0,0,0.18,9.231,0.29,14.872,3/11/2010
-175.5,-20.5,3/11/2010,12:00,2010,3,11,184.5,-175.5,-20.5,16,0,0,0,0,0,0,0,0,0,0,0.15,9.375,0.15,9.375,3/11/2010
-176.5,-19.5,3/12/2010,12:00,2010,3,12,183.5,-176.5,-19.5,29,0.28,9.655,0.15,5.172,0,0,0,0,0,0,0,0,0.43,14.828,3/12/2010
-175.5,-21.5,3/12/2010,12:00,2010,3,12,184.5,-175.5,-21.5,19.5,0.075,3.846,0,0,0,0,0,0,0,0,0.08,4.103,0.155,7.949,3/12/2010
-175.5,-20.5,3/19/2010,12:00,2010,3,19,184.5,-175.5,-20.5,19,0.045,2.368,0,0,0,0,0,0,0,0,0.23,12.105,0.275,14.474,3/19/2010
-175.5,-20.5,3/20/2010,12:00,2010,3,20,184.5,-175.5,-20.5,20,0.057,2.85,0,0,0,0,0,0,0,0,0.015,0.75,0.072,3.6,3/20/2010
-175.5,-19.5,3/20/2010,12:00,2010,3,20,184.5,-175.5,-19.5,19,0.165,8.684,0.02,1.053,0,0,0,0,0,0,0.11,5.789,0.295,15.526,3/20/2010
-173.5,-18.5,3/20/2010,12:00,2010,3,20,186.5,-173.5,-18.5,16,0.16,10,0.03,1.875,0,0,0,0,0,0,0.03,1.875,0.22,13.75,3/20/2010
-175.5,-19.5,3/21/2010,12:00,2010,3,21,184.5,-175.5,-19.5,18,0.09,5,0.14,7.778,0,0,0,0,0,0,0.02,1.111,0.25,13.889,3/21/2010
-174.5,-19.5,3/21/2010,12:00,2010,3,21,185.5,-174.5,-19.5,20,0,0,0.045,2.25,0,0,0,0,0,0,0,0,0.045,2.25,3/21/2010
-173.5,-18.5,3/21/2010,12:00,2010,3,21,186.5,-173.5,-18.5,16,0.14,8.75,0.06,3.75,0,0,0,0,0,0,0.025,1.563,0.225,14.063,3/21/2010
-175.5,-19.5,3/22/2010,12:00,2010,3,22,184.5,-175.5,-19.5,18,0.09,5,0.04,2.222,0,0,0,0,0,0,0.04,2.222,0.17,9.444,3/22/2010
-173.5,-18.5,3/22/2010,12:00,2010,3,22,186.5,-173.5,-18.5,16,0.22,13.75,0.1,6.25,0,0,0,0,0,0,0.025,1.563,0.345,21.563,3/22/2010
-175.5,-19.5,3/23/2010,12:00,2010,3,23,184.5,-175.5,-19.5,18,0.18,10,0,0,0,0,0,0,0,0,0.06,3.333,0.24,13.333,3/23/2010
-173.5,-20.5,3/23/2010,12:00,2010,3,23,186.5,-173.5,-20.5,20,0.017,0.85,0,0,0,0,0,0,0,0,0,0,0.017,0.85,3/23/2010
-173.5,-19.5,3/23/2010,12:00,2010,3,23,186.5,-173.5,-19.5,16,0.045,2.813,0,0,0,0,0,0,0,0,0.065,4.063,0.11,6.875,3/23/2010
-175.5,-20.5,3/24/2010,12:00,2010,3,24,184.5,-175.5,-20.5,17,0.015,0.882,0,0,0,0,0,0,0,0,0,0,0.015,0.882,3/24/2010
-173.5,-20.5,3/24/2010,12:00,2010,3,24,186.5,-173.5,-20.5,20,0.068,3.4,0,0,0,0,0,0,0,0,0,0,0.068,3.4,3/24/2010
-175.5,-20.5,3/25/2010,12:00,2010,3,25,184.5,-175.5,-20.5,17,0.03,1.765,0,0,0,0,0,0,0,0,0.06,3.529,0.09,5.294,3/25/2010
-173.5,-20.5,3/25/2010,12:00,2010,3,25,186.5,-173.5,-20.5,20,0.136,6.8,0,0,0,0,0,0,0,0,0.24,12,0.376,18.8,3/25/2010
-173.5,-20.5,3/26/2010,12:00,2010,3,26,186.5,-173.5,-20.5,20,0.068,3.4,0.1,5,0,0,0,0,0,0,0.015,0.75,0.183,9.15,3/26/2010
-176.5,-20.5,4/1/2010,12:00,2010,4,1,183.5,-176.5,-20.5,16.5,0.07,4.242,0,0,0,0,0,0,0,0,0,0,0.07,4.242,4/1/2010
-175.5,-19.5,4/2/2010,12:00,2010,4,2,184.5,-175.5,-19.5,16.5,0.06,3.636,0.14,8.485,0,0,0,0,0,0,0.07,4.242,0.27,16.364,4/2/2010
