lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-174.5,-21.5,1/21/2005,12:00,2005,1,21,185.5,-174.5,-21.5,16,0.2,12.5,0.08,5,0,0,0,0,0,0,0.115,7.188,0.395,24.688,1/21/2005
-176.5,-21.5,1/22/2005,12:00,2005,1,22,183.5,-176.5,-21.5,21.15,0.34,16.076,0,0,0,0,0,0,0,0,0.25,11.82,0.59,27.896,1/22/2005
-174.5,-21.5,1/22/2005,12:00,2005,1,22,185.5,-174.5,-21.5,15.5,0.18,11.613,0.015,0.968,0,0,0,0,0,0,0.03,1.935,0.225,14.516,1/22/2005
-174.5,-21.5,1/23/2005,12:00,2005,1,23,185.5,-174.5,-21.5,16.5,0.15,9.091,0,0,0,0,0,0,0,0,0.425,25.758,0.575,34.848,1/23/2005
-176.5,-21.5,1/24/2005,12:00,2005,1,24,183.5,-176.5,-21.5,24.3,0.255,10.494,0,0,0,0,0.005,0.206,0,0,0.125,5.144,0.385,15.844,1/24/2005
-176.5,-20.5,1/26/2005,12:00,2005,1,26,183.5,-176.5,-20.5,24.3,0.357,14.691,0.08,3.292,0,0,0,0,0,0,0.06,2.469,0.497,20.453,1/26/2005
-174.5,-23.5,1/26/2005,12:00,2005,1,26,185.5,-174.5,-23.5,14,0,0,0.07,5,0,0,0,0,0,0,0.07,5,0.14,10,1/26/2005
-176.5,-20.5,1/27/2005,12:00,2005,1,27,183.5,-176.5,-20.5,21.15,0.425,20.095,0.025,1.182,0,0,0,0,0,0,0.1,4.728,0.55,26.005,1/27/2005
-175.5,-23.5,1/27/2005,12:00,2005,1,27,184.5,-175.5,-23.5,14,0.015,1.071,0.06,4.286,0,0,0,0,0,0,0.1,7.143,0.175,12.5,1/27/2005
-176.5,-20.5,1/28/2005,12:00,2005,1,28,183.5,-176.5,-20.5,24.3,0.425,17.49,0,0,0,0,0,0,0,0,0.31,12.757,0.735,30.247,1/28/2005
-174.5,-21.5,1/28/2005,12:00,2005,1,28,185.5,-174.5,-21.5,16,0.14,8.75,0.035,2.188,0,0,0,0,0,0,0.03,1.875,0.205,12.813,1/28/2005
-176.5,-19.5,1/29/2005,12:00,2005,1,29,183.5,-176.5,-19.5,21,0.221,10.524,0.03,1.429,0,0,0,0,0,0,0.05,2.381,0.301,14.333,1/29/2005
-174.5,-20.5,1/29/2005,12:00,2005,1,29,185.5,-174.5,-20.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/29/2005
-173.5,-21.5,1/29/2005,12:00,2005,1,29,186.5,-173.5,-21.5,15,0.035,2.333,0.04,2.667,0,0,0.01,0.667,0,0,0,0,0.085,5.667,1/29/2005
-176.5,-20.5,1/30/2005,12:00,2005,1,30,183.5,-176.5,-20.5,14,0.11,7.857,0.06,4.286,0,0,0,0,0,0,0.15,10.714,0.32,22.857,1/30/2005
-174.5,-19.5,1/30/2005,12:00,2005,1,30,185.5,-174.5,-19.5,24.5,0,0,0,0,0,0,0,0,0,0,0.385,15.714,0.385,15.714,1/30/2005
-175.5,-20.5,1/31/2005,12:00,2005,1,31,184.5,-175.5,-20.5,24.5,0,0,0,0,0,0,0,0,0,0,0.03,1.224,0.03,1.224,1/31/2005
-174.5,-18.5,1/31/2005,12:00,2005,1,31,185.5,-174.5,-18.5,24.3,0.204,8.395,0.025,1.029,0,0,0,0,0,0,0.1,4.115,0.329,13.539,1/31/2005
-175.5,-20.5,2/1/2005,12:00,2005,2,1,184.5,-175.5,-20.5,14,0.115,8.214,0.06,4.286,0,0,0,0,0,0,0.22,15.714,0.395,28.214,2/1/2005
-175.5,-20.5,2/2/2005,12:00,2005,2,2,184.5,-175.5,-20.5,16.5,0,0,0,0,0,0,0,0,0,0,0.03,1.818,0.03,1.818,2/2/2005
-175.5,-17.5,2/2/2005,12:00,2005,2,2,184.5,-175.5,-17.5,24.3,0.323,13.292,0.045,1.852,0,0,0.005,0.206,0,0,0.4,16.461,0.773,31.811,2/2/2005
-176.5,-21.5,2/3/2005,12:00,2005,2,3,183.5,-176.5,-21.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2005
-175.5,-20.5,2/3/2005,12:00,2005,2,3,184.5,-175.5,-20.5,40.5,0.015,0.37,0,0,0,0,0,0,0,0,0.44,10.864,0.455,11.235,2/3/2005
-175.5,-17.5,2/3/2005,12:00,2005,2,3,184.5,-175.5,-17.5,24.3,0.153,6.296,0.08,3.292,0,0,0,0,0,0,0.45,18.519,0.683,28.107,2/3/2005
-176.5,-21.5,2/4/2005,12:00,2005,2,4,183.5,-176.5,-21.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/4/2005
-175.5,-19.5,2/4/2005,12:00,2005,2,4,184.5,-175.5,-19.5,16.5,0.06,3.636,0,0,0,0,0,0,0,0,0.155,9.394,0.215,13.03,2/4/2005
-175.5,-17.5,2/4/2005,12:00,2005,2,4,184.5,-175.5,-17.5,24.15,0.136,5.631,0.08,3.313,0,0,0.005,0.207,0,0,0.16,6.625,0.381,15.776,2/4/2005
-176.5,-21.5,2/5/2005,12:00,2005,2,5,183.5,-176.5,-21.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/5/2005
-175.5,-21.5,2/5/2005,12:00,2005,2,5,184.5,-175.5,-21.5,14,0,0,0.05,3.571,0,0,0,0,0,0,0.18,12.857,0.23,16.429,2/5/2005
-175.5,-19.5,2/5/2005,12:00,2005,2,5,184.5,-175.5,-19.5,16.5,0.045,2.727,0,0,0,0,0,0,0,0,0.06,3.636,0.105,6.364,2/5/2005
-175.5,-17.5,2/5/2005,12:00,2005,2,5,184.5,-175.5,-17.5,21.15,0.204,9.645,0.07,3.31,0,0,0,0,0,0,0.1,4.728,0.374,17.683,2/5/2005
-176.5,-21.5,2/6/2005,12:00,2005,2,6,183.5,-176.5,-21.5,19,0,0,0,0,0,0,0,0,0,0,0.04,2.105,0.04,2.105,2/6/2005
-175.5,-21.5,2/6/2005,12:00,2005,2,6,184.5,-175.5,-21.5,14,0,0,0,0,0,0,0,0,0,0,0.07,5,0.07,5,2/6/2005
-175.5,-20.5,2/6/2005,12:00,2005,2,6,184.5,-175.5,-20.5,16.5,0.045,2.727,0,0,0,0,0,0,0,0,0.09,5.455,0.135,8.182,2/6/2005
-176.5,-21.5,2/7/2005,12:00,2005,2,7,183.5,-176.5,-21.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/7/2005
-175.5,-21.5,2/7/2005,12:00,2005,2,7,184.5,-175.5,-21.5,14,0,0,0,0,0,0,0,0,0,0,0.22,15.714,0.22,15.714,2/7/2005
-175.5,-18.5,2/7/2005,12:00,2005,2,7,184.5,-175.5,-18.5,24.3,0.17,6.996,0.025,1.029,0,0,0,0,0,0,0,0,0.195,8.025,2/7/2005
-172.5,-18.5,2/7/2005,12:00,2005,2,7,187.5,-172.5,-18.5,25,0,0,0.055,2.2,0,0,0,0,0,0,0.4,16,0.455,18.2,2/7/2005
-175.5,-21.5,2/8/2005,12:00,2005,2,8,184.5,-175.5,-21.5,14,0,0,0,0,0,0,0,0,0,0,0.16,11.429,0.16,11.429,2/8/2005
-175.5,-18.5,2/8/2005,12:00,2005,2,8,184.5,-175.5,-18.5,22.44,0.187,8.333,0,0,0,0,0,0,0,0,0.06,2.674,0.247,11.007,2/8/2005
-172.5,-18.5,2/8/2005,12:00,2005,2,8,187.5,-172.5,-18.5,25,0.015,0.6,0.1,4,0,0,0,0,0,0,0.315,12.6,0.43,17.2,2/8/2005
-176.5,-21.5,2/9/2005,12:00,2005,2,9,183.5,-176.5,-21.5,14,0,0,0,0,0,0,0,0,0,0,0.3,21.429,0.3,21.429,2/9/2005
-172.5,-18.5,2/9/2005,12:00,2005,2,9,187.5,-172.5,-18.5,25,0.045,1.8,0.11,4.4,0,0,0,0,0,0,0.17,6.8,0.325,13,2/9/2005
-174.5,-19.5,2/10/2005,12:00,2005,2,10,185.5,-174.5,-19.5,24,0.015,0.625,0,0,0,0,0,0,0,0,0.55,22.917,0.565,23.542,2/10/2005
-173.5,-18.5,2/10/2005,12:00,2005,2,10,186.5,-173.5,-18.5,49.3,0.301,6.105,0.075,1.521,0,0,0,0,0,0,1.67,33.874,2.046,41.501,2/10/2005
-174.5,-19.5,2/11/2005,12:00,2005,2,11,185.5,-174.5,-19.5,24,0,0,0,0,0,0,0,0,0,0,0.9,37.5,0.9,37.5,2/11/2005
-173.5,-18.5,2/11/2005,12:00,2005,2,11,186.5,-173.5,-18.5,24.3,0.068,2.798,0.05,2.058,0,0,0,0,0,0,0.32,13.169,0.438,18.025,2/11/2005
-173.5,-17.5,2/11/2005,12:00,2005,2,11,186.5,-173.5,-17.5,25,0.21,8.4,0.06,2.4,0,0,0,0,0,0,0.535,21.4,0.805,32.2,2/11/2005
-174.5,-23.5,2/12/2005,12:00,2005,2,12,185.5,-174.5,-23.5,17.5,0.09,5.143,0,0,0,0,0,0,0,0,0.245,14,0.335,19.143,2/12/2005
-174.5,-19.5,2/12/2005,12:00,2005,2,12,185.5,-174.5,-19.5,24,0,0,0,0,0,0,0,0,0,0,0.35,14.583,0.35,14.583,2/12/2005
-173.5,-18.5,2/12/2005,12:00,2005,2,12,186.5,-173.5,-18.5,21.1,0.085,4.028,0.02,0.948,0,0,0,0,0,0,0.4,18.957,0.505,23.934,2/12/2005
-173.5,-17.5,2/12/2005,12:00,2005,2,12,186.5,-173.5,-17.5,25,0.15,6,0.12,4.8,0,0,0,0,0,0,0.36,14.4,0.63,25.2,2/12/2005
-174.5,-23.5,2/13/2005,12:00,2005,2,13,185.5,-174.5,-23.5,16.5,0.18,10.909,0,0,0,0,0,0,0,0,0.25,15.152,0.43,26.061,2/13/2005
-174.5,-19.5,2/13/2005,12:00,2005,2,13,185.5,-174.5,-19.5,24,0,0,0,0,0,0,0,0,0,0,0.465,19.375,0.465,19.375,2/13/2005
-173.5,-17.5,2/13/2005,12:00,2005,2,13,186.5,-173.5,-17.5,25,0.09,3.6,0.085,3.4,0,0,0,0,0,0,0.225,9,0.4,16,2/13/2005
-175.5,-23.5,2/14/2005,12:00,2005,2,14,184.5,-175.5,-23.5,17,0.05,2.941,0.14,8.235,0,0,0,0,0,0,0.12,7.059,0.31,18.235,2/14/2005
-175.5,-20.5,2/14/2005,12:00,2005,2,14,184.5,-175.5,-20.5,24,0,0,0,0,0,0,0,0,0,0,0.475,19.792,0.475,19.792,2/14/2005
-175.5,-20.5,2/15/2005,12:00,2005,2,15,184.5,-175.5,-20.5,24,0,0,0,0,0,0,0,0,0,0,0.33,13.75,0.33,13.75,2/15/2005
-174.5,-23.5,2/15/2005,12:00,2005,2,15,185.5,-174.5,-23.5,17,0.18,10.588,0.045,2.647,0,0,0,0,0,0,0.17,10,0.395,23.235,2/15/2005
-174.5,-18.5,2/19/2005,12:00,2005,2,19,185.5,-174.5,-18.5,21.1,0.102,4.834,0,0,0,0,0,0,0,0,0.2,9.479,0.302,14.313,2/19/2005
-173.5,-18.5,2/19/2005,12:00,2005,2,19,186.5,-173.5,-18.5,25,0.075,3,0,0,0,0,0,0,0,0,0.35,14,0.425,17,2/19/2005
-173.5,-19.5,2/20/2005,12:00,2005,2,20,186.5,-173.5,-19.5,25,0.105,4.2,0.05,2,0,0,0,0,0,0,0,0,0.155,6.2,2/20/2005
-175.5,-19.5,2/21/2005,12:00,2005,2,21,184.5,-175.5,-19.5,14,0.03,2.143,0.04,2.857,0,0,0,0,0,0,0.03,2.143,0.1,7.143,2/21/2005
-173.5,-19.5,2/21/2005,12:00,2005,2,21,186.5,-173.5,-19.5,26,0.105,4.038,0,0,0,0,0,0,0,0,0.075,2.885,0.18,6.923,2/21/2005
-173.5,-18.5,2/21/2005,12:00,2005,2,21,186.5,-173.5,-18.5,23.8,0.391,16.429,0.03,1.261,0,0,0,0,0,0,0.4,16.807,0.821,34.496,2/21/2005
-175.5,-18.5,2/22/2005,12:00,2005,2,22,184.5,-175.5,-18.5,14,0.03,2.143,0,0,0,0,0,0,0,0,0.18,12.857,0.21,15,2/22/2005
-173.5,-18.5,2/22/2005,12:00,2005,2,22,186.5,-173.5,-18.5,41.2,0.664,16.117,0.03,0.728,0,0,0,0,0,0,0.295,7.16,0.989,24.005,2/22/2005
-172.5,-18.5,2/22/2005,12:00,2005,2,22,187.5,-172.5,-18.5,25.5,0.09,3.529,0,0,0,0,0,0,0,0,0.025,0.98,0.115,4.51,2/22/2005
-175.5,-20.5,2/23/2005,12:00,2005,2,23,184.5,-175.5,-20.5,24,0,0,0,0,0,0,0,0,0,0,0.26,10.833,0.26,10.833,2/23/2005
-174.5,-18.5,2/23/2005,12:00,2005,2,23,185.5,-174.5,-18.5,14,0,0,0,0,0,0,0,0,0,0,0.4,28.571,0.4,28.571,2/23/2005
-173.5,-18.5,2/23/2005,12:00,2005,2,23,186.5,-173.5,-18.5,63.5,0.348,5.48,0.18,2.835,0,0,0.01,0.157,0,0,0.69,10.866,1.228,19.339,2/23/2005
-175.5,-20.5,2/24/2005,12:00,2005,2,24,184.5,-175.5,-20.5,25,0,0,0,0,0,0,0,0,0,0,0.145,5.8,0.145,5.8,2/24/2005
-175.5,-18.5,2/24/2005,12:00,2005,2,24,184.5,-175.5,-18.5,14,0,0,0,0,0,0,0,0,0,0,0.14,10,0.14,10,2/24/2005
-174.5,-18.5,2/24/2005,12:00,2005,2,24,185.5,-174.5,-18.5,25.5,0.03,1.176,0,0,0,0,0,0,0,0,0.06,2.353,0.09,3.529,2/24/2005
-173.5,-18.5,2/24/2005,12:00,2005,2,24,186.5,-173.5,-18.5,39,0.457,11.718,0.225,5.769,0,0,0,0,0,0,0.065,1.667,0.747,19.154,2/24/2005
-175.5,-20.5,2/25/2005,12:00,2005,2,25,184.5,-175.5,-20.5,25,0.165,6.6,0,0,0,0,0,0,0,0,0.07,2.8,0.235,9.4,2/25/2005
-173.5,-18.5,2/25/2005,12:00,2005,2,25,186.5,-173.5,-18.5,16.5,0.17,10.303,0.205,12.424,0,0,0,0,0,0,0.085,5.152,0.46,27.879,2/25/2005
-175.5,-20.5,2/26/2005,12:00,2005,2,26,184.5,-175.5,-20.5,25,0,0,0,0,0,0,0,0,0,0,0.125,5,0.125,5,2/26/2005
-174.5,-17.5,2/26/2005,12:00,2005,2,26,185.5,-174.5,-17.5,14,0,0,0.36,25.714,0,0,0,0,0,0,0.1,7.143,0.46,32.857,2/26/2005
-173.5,-18.5,2/26/2005,12:00,2005,2,26,186.5,-173.5,-18.5,15.5,0.18,11.613,0.08,5.161,0,0,0,0,0,0,0.165,10.645,0.425,27.419,2/26/2005
