lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-174.5,-20.5,1/1/2009,12:00,2009,1,1,185.5,-174.5,-20.5,33.5,0.764,22.806,0.052,1.552,0,0,0,0,0,0,0.31,9.254,1.126,33.612,1/1/2009
-174.5,-21.5,1/2/2009,12:00,2009,1,2,185.5,-174.5,-21.5,15.5,0.195,12.581,0,0,0,0,0,0,0,0,0.345,22.258,0.54,34.839,1/2/2009
-173.5,-20.5,1/2/2009,12:00,2009,1,2,186.5,-173.5,-20.5,18,0.367,20.389,0.039,2.167,0,0,0,0,0,0,0.194,10.778,0.6,33.333,1/2/2009
-174.5,-21.5,1/3/2009,12:00,2009,1,3,185.5,-174.5,-21.5,15.5,0,0,0,0,0,0,0,0,0,0,0.109,7.032,0.109,7.032,1/3/2009
-173.5,-20.5,1/3/2009,12:00,2009,1,3,186.5,-173.5,-20.5,18,0.408,22.667,0.032,1.778,0,0,0,0,0,0,0.162,9,0.602,33.444,1/3/2009
-173.5,-20.5,1/4/2009,12:00,2009,1,4,186.5,-173.5,-20.5,18,0.408,22.667,0.045,2.5,0,0,0,0,0,0,0.162,9,0.615,34.167,1/4/2009
-173.5,-20.5,1/5/2009,12:00,2009,1,5,186.5,-173.5,-20.5,18,0.367,20.389,0.032,1.778,0,0,0,0,0,0,0.21,11.667,0.609,33.833,1/5/2009
-173.5,-20.5,1/6/2009,12:00,2009,1,6,186.5,-173.5,-20.5,18,0.357,19.833,0,0,0,0,0,0,0,0,0.081,4.5,0.438,24.333,1/6/2009
-173.5,-20.5,1/7/2009,12:00,2009,1,7,186.5,-173.5,-20.5,18,0.428,23.778,0.065,3.611,0,0,0,0,0,0,0.259,14.389,0.752,41.778,1/7/2009
-176.5,-21.5,1/8/2009,12:00,2009,1,8,183.5,-176.5,-21.5,15,0.23,15.333,0.154,10.267,0,0,0,0,0,0,0.181,12.067,0.565,37.667,1/8/2009
-174.5,-20.5,1/8/2009,12:00,2009,1,8,185.5,-174.5,-20.5,21,0.296,14.095,0.1,4.762,0,0,0,0,0,0,0.03,1.429,0.426,20.286,1/8/2009
-173.5,-20.5,1/8/2009,12:00,2009,1,8,186.5,-173.5,-20.5,18,0.418,23.222,0.039,2.167,0,0,0,0,0,0,0.243,13.5,0.7,38.889,1/8/2009
-175.5,-21.5,1/9/2009,12:00,2009,1,9,184.5,-175.5,-21.5,15,0.198,13.2,0.154,10.267,0,0,0,0,0,0,0.045,3,0.397,26.467,1/9/2009
-173.5,-20.5,1/9/2009,12:00,2009,1,9,186.5,-173.5,-20.5,21,0.296,14.095,0.11,5.238,0,0,0,0,0,0,0.035,1.667,0.441,21,1/9/2009
-172.5,-16.5,1/10/2009,12:00,2009,1,10,187.5,-172.5,-16.5,34,0.126,3.706,0.04,1.176,0,0,0,0,0,0,0.07,2.059,0.236,6.941,1/10/2009
-174.5,-20.5,1/13/2009,12:00,2009,1,13,185.5,-174.5,-20.5,16.56,0.225,13.587,0.072,4.348,0,0,0,0,0,0,0.246,14.855,0.543,32.79,1/13/2009
-174.5,-20.5,1/14/2009,12:00,2009,1,14,185.5,-174.5,-20.5,16.56,0.08,4.831,0.072,4.348,0,0,0,0,0,0,0.208,12.56,0.36,21.739,1/14/2009
-174.5,-21.5,1/16/2009,12:00,2009,1,16,185.5,-174.5,-21.5,16.56,0.08,4.831,0.036,2.174,0,0,0,0,0,0,0.293,17.693,0.409,24.698,1/16/2009
-174.5,-21.5,1/17/2009,12:00,2009,1,17,185.5,-174.5,-21.5,16.56,0.03,1.812,0.108,6.522,0,0,0,0,0,0,0.463,27.959,0.601,36.292,1/17/2009
-174.5,-21.5,1/18/2009,12:00,2009,1,18,185.5,-174.5,-21.5,16.56,0.03,1.812,0.045,2.717,0,0,0,0,0,0,0.34,20.531,0.415,25.06,1/18/2009
-173.5,-20.5,1/18/2009,12:00,2009,1,18,186.5,-173.5,-20.5,18,0.255,14.167,0.185,10.278,0,0,0,0,0,0,0.156,8.667,0.596,33.111,1/18/2009
-173.5,-20.5,1/19/2009,12:00,2009,1,19,186.5,-173.5,-20.5,18,0.243,13.5,0.056,3.111,0,0,0,0,0,0,0.234,13,0.533,29.611,1/19/2009
-174.5,-21.5,1/20/2009,12:00,2009,1,20,185.5,-174.5,-21.5,16,0.015,0.938,0.053,3.313,0,0,0,0,0,0,1.825,114.063,1.893,118.313,1/20/2009
-173.5,-20.5,1/20/2009,12:00,2009,1,20,186.5,-173.5,-20.5,18,0.192,10.667,0.037,2.056,0,0,0,0,0,0,0.176,9.778,0.405,22.5,1/20/2009
-174.5,-20.5,1/21/2009,12:00,2009,1,21,185.5,-174.5,-20.5,16,0,0,0.053,3.313,0,0,0,0,0,0,1.327,82.938,1.38,86.25,1/21/2009
-173.5,-20.5,1/21/2009,12:00,2009,1,21,186.5,-173.5,-20.5,18,0.192,10.667,0,0,0,0,0,0,0,0,0.098,5.444,0.29,16.111,1/21/2009
-174.5,-20.5,1/22/2009,12:00,2009,1,22,185.5,-174.5,-20.5,16,0.03,1.875,0,0,0,0,0,0,0,0,0.498,31.125,0.528,33,1/22/2009
