lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-175.5,-21.5,1/3/2002,12:00,2002,1,3,184.5,-175.5,-21.5,15,0.119,7.933,0,0,0,0,0,0,0,0,0.035,2.333,0.154,10.267,1/3/2002
-175.5,-20.5,1/3/2002,12:00,2002,1,3,184.5,-175.5,-20.5,18,0.03,1.667,0,0,0,0,0.01,0.556,0,0,0,0,0.04,2.222,1/3/2002
-176.5,-21.5,1/4/2002,12:00,2002,1,4,183.5,-176.5,-21.5,15,0.374,24.933,0,0,0,0,0,0,0,0,0.03,2,0.404,26.933,1/4/2002
-176.5,-20.5,1/4/2002,12:00,2002,1,4,183.5,-176.5,-20.5,18,0.045,2.5,0,0,0,0,0.005,0.278,0,0,0,0,0.05,2.778,1/4/2002
-176.5,-21.5,1/5/2002,12:00,2002,1,5,183.5,-176.5,-21.5,33,0.216,6.545,0,0,0,0,0.005,0.152,0,0,0.08,2.424,0.301,9.121,1/5/2002
-176.5,-20.5,1/5/2002,12:00,2002,1,5,183.5,-176.5,-20.5,19,0.16,8.421,0,0,0,0,0,0,0,0,0.05,2.632,0.21,11.053,1/5/2002
-176.5,-20.5,1/6/2002,12:00,2002,1,6,183.5,-176.5,-20.5,17,0.12,7.059,0,0,0,0,0,0,0,0,0.075,4.412,0.195,11.471,1/6/2002
-175.5,-21.5,1/6/2002,12:00,2002,1,6,184.5,-175.5,-21.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/6/2002
-176.5,-20.5,1/7/2002,12:00,2002,1,7,183.5,-176.5,-20.5,18,0.1,5.556,0,0,0,0,0,0,0,0,0,0,0.1,5.556,1/7/2002
-174.5,-21.5,1/7/2002,12:00,2002,1,7,185.5,-174.5,-21.5,18,0.2,11.111,0,0,0,0,0,0,0,0,0.05,2.778,0.25,13.889,1/7/2002
-174.5,-21.5,1/8/2002,12:00,2002,1,8,185.5,-174.5,-21.5,18,0,0,0,0,0,0,0,0,0,0,0.06,3.333,0.06,3.333,1/8/2002
-176.5,-21.5,1/9/2002,12:00,2002,1,9,183.5,-176.5,-21.5,15,0.51,34,0,0,0,0,0,0,0,0,0.025,1.667,0.535,35.667,1/9/2002
-176.5,-20.5,1/9/2002,12:00,2002,1,9,183.5,-176.5,-20.5,20.5,0.34,16.585,0,0,0,0,0,0,0,0,0.1,4.878,0.44,21.463,1/9/2002
-175.5,-18.5,1/9/2002,12:00,2002,1,9,184.5,-175.5,-18.5,37,0.12,3.243,0.085,2.297,0,0,0,0,0,0,0.19,5.135,0.395,10.676,1/9/2002
-174.5,-21.5,1/9/2002,12:00,2002,1,9,185.5,-174.5,-21.5,18,0,0,0,0,0,0,0,0,0,0,0.03,1.667,0.03,1.667,1/9/2002
-176.5,-21.5,1/10/2002,12:00,2002,1,10,183.5,-176.5,-21.5,15,0.459,30.6,0,0,0,0,0,0,0,0,0.05,3.333,0.509,33.933,1/10/2002
-176.5,-20.5,1/10/2002,12:00,2002,1,10,183.5,-176.5,-20.5,20.5,0.16,7.805,0,0,0,0,0,0,0,0,0,0,0.16,7.805,1/10/2002
-174.5,-21.5,1/10/2002,12:00,2002,1,10,185.5,-174.5,-21.5,18,0,0,0,0,0,0,0,0,0,0,0.04,2.222,0.04,2.222,1/10/2002
-174.5,-18.5,1/10/2002,12:00,2002,1,10,185.5,-174.5,-18.5,15,0.08,5.333,0.195,13,0,0,0,0,0,0,0.08,5.333,0.355,23.667,1/10/2002
-176.5,-21.5,1/11/2002,12:00,2002,1,11,183.5,-176.5,-21.5,15,0.102,6.8,0.04,2.667,0,0,0,0,0,0,0,0,0.142,9.467,1/11/2002
-175.5,-17.5,1/11/2002,12:00,2002,1,11,184.5,-175.5,-17.5,21,0.46,21.905,0.1,4.762,0,0,0,0,0,0,0.12,5.714,0.68,32.381,1/11/2002
-174.5,-17.5,1/11/2002,12:00,2002,1,11,185.5,-174.5,-17.5,15,0.44,29.333,0.26,17.333,0,0,0,0,0,0,0.1,6.667,0.8,53.333,1/11/2002
-175.5,-19.5,1/12/2002,12:00,2002,1,12,184.5,-175.5,-19.5,20,0.12,6,0,0,0,0,0,0,0,0,0.125,6.25,0.245,12.25,1/12/2002
-174.5,-23.5,1/12/2002,12:00,2002,1,12,185.5,-174.5,-23.5,20,0.2,10,0,0,0,0,0,0,0,0,0,0,0.2,10,1/12/2002
-174.5,-17.5,1/12/2002,12:00,2002,1,12,185.5,-174.5,-17.5,37,0.48,12.973,0.12,3.243,0,0,0,0,0,0,0.02,0.541,0.62,16.757,1/12/2002
-175.5,-15.5,1/13/2002,12:00,2002,1,13,184.5,-175.5,-15.5,26,0.27,10.385,0,0,0,0,0,0,0,0,0.025,0.962,0.295,11.346,1/13/2002
-175.5,-21.5,1/14/2002,12:00,2002,1,14,184.5,-175.5,-21.5,16.53,0.374,22.626,0,0,0,0,0,0,0,0,0,0,0.374,22.626,1/14/2002
-175.5,-20.5,1/14/2002,12:00,2002,1,14,184.5,-175.5,-20.5,12,0.11,9.167,0,0,0,0,0,0,0,0,0,0,0.11,9.167,1/14/2002
-175.5,-16.5,1/14/2002,12:00,2002,1,14,184.5,-175.5,-16.5,15,0.06,4,0.07,4.667,0,0,0,0,0,0,0.02,1.333,0.15,10,1/14/2002
-171.5,-16.5,1/14/2002,12:00,2002,1,14,188.5,-171.5,-16.5,22,0.1,4.545,0.13,5.909,0,0,0,0,0,0,0.1,4.545,0.33,15,1/14/2002
-175.5,-21.5,1/15/2002,12:00,2002,1,15,184.5,-175.5,-21.5,20.35,0.561,27.568,0.03,1.474,0,0,0,0,0,0,0,0,0.591,29.042,1/15/2002
-175.5,-19.5,1/15/2002,12:00,2002,1,15,184.5,-175.5,-19.5,12,0.08,6.667,0,0,0,0,0,0,0,0,0,0,0.08,6.667,1/15/2002
-175.5,-17.5,1/15/2002,12:00,2002,1,15,184.5,-175.5,-17.5,15,0.02,1.333,0.2,13.333,0,0,0,0,0,0,0.04,2.667,0.26,17.333,1/15/2002
-173.5,-20.5,1/15/2002,12:00,2002,1,15,186.5,-173.5,-20.5,19,0.1,5.263,0,0,0,0,0,0,0,0,0.025,1.316,0.125,6.579,1/15/2002
-172.5,-16.5,1/15/2002,12:00,2002,1,15,187.5,-172.5,-16.5,22,0.16,7.273,0.18,8.182,0,0,0,0,0,0,0.07,3.182,0.41,18.636,1/15/2002
