lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-175.5,-19.5,1/1/2012,12:00,2012,1,1,184.5,-175.5,-19.5,16,0.045,2.813,0.02,1.25,0,0,0,0,0,0,0.2,12.5,0.265,16.563,1/1/2012
-174.5,-18.5,1/1/2012,12:00,2012,1,1,185.5,-174.5,-18.5,23,0,0,0,0,0,0,0,0,0,0,0.51,22.174,0.51,22.174,1/1/2012
-175.5,-20.5,1/2/2012,12:00,2012,1,2,184.5,-175.5,-20.5,16,0,0,0,0,0,0,0,0,0,0,0.17,10.625,0.17,10.625,1/2/2012
-174.5,-18.5,1/2/2012,12:00,2012,1,2,185.5,-174.5,-18.5,23,0,0,0,0,0,0,0,0,0,0,1.005,43.696,1.005,43.696,1/2/2012
-174.5,-18.5,1/3/2012,12:00,2012,1,3,185.5,-174.5,-18.5,23,0,0,0,0,0,0,0,0,0,0,1.22,53.043,1.22,53.043,1/3/2012
-174.5,-18.5,1/4/2012,12:00,2012,1,4,185.5,-174.5,-18.5,23,0,0,0,0,0,0,0,0,0,0,1.05,45.652,1.05,45.652,1/4/2012
-174.5,-19.5,1/5/2012,12:00,2012,1,5,185.5,-174.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,0.72,31.304,0.72,31.304,1/5/2012
-174.5,-19.5,1/6/2012,12:00,2012,1,6,185.5,-174.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,0.585,25.435,0.585,25.435,1/6/2012
-174.5,-21.5,1/7/2012,12:00,2012,1,7,185.5,-174.5,-21.5,16,0,0,0,0,0,0,0.02,1.25,0,0,1.24,77.5,1.26,78.75,1/7/2012
-174.5,-19.5,1/7/2012,12:00,2012,1,7,185.5,-174.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,0.95,41.304,0.95,41.304,1/7/2012
-174.5,-21.5,1/8/2012,12:00,2012,1,8,185.5,-174.5,-21.5,16,0.12,7.5,0.08,5,0,0,0,0,0,0,1.06,66.25,1.26,78.75,1/8/2012
-174.5,-19.5,1/8/2012,12:00,2012,1,8,185.5,-174.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,0.645,28.043,0.645,28.043,1/8/2012
-175.5,-19.5,1/9/2012,12:00,2012,1,9,184.5,-175.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,0.99,43.043,0.99,43.043,1/9/2012
-175.5,-19.5,1/10/2012,12:00,2012,1,10,184.5,-175.5,-19.5,23,0.03,1.304,0,0,0,0,0,0,0,0,0.495,21.522,0.525,22.826,1/10/2012
-174.5,-22.5,1/10/2012,12:00,2012,1,10,185.5,-174.5,-22.5,16,0,0,0,0,0,0,0,0,0,0,1.4,87.5,1.4,87.5,1/10/2012
-173.5,-14.5,1/10/2012,12:00,2012,1,10,186.5,-173.5,-14.5,23,1.62,70.435,0,0,0,0,0.006,0.261,0,0,0.06,2.609,1.686,73.304,1/10/2012
-175.5,-19.5,1/11/2012,12:00,2012,1,11,184.5,-175.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,0.905,39.348,0.905,39.348,1/11/2012
-174.5,-21.5,1/11/2012,12:00,2012,1,11,185.5,-174.5,-21.5,16,0,0,0,0,0,0,0,0,0,0,0.5,31.25,0.5,31.25,1/11/2012
-173.5,-14.5,1/11/2012,12:00,2012,1,11,186.5,-173.5,-14.5,23,1.36,59.13,0,0,0,0,0,0,0,0,0.1,4.348,1.46,63.478,1/11/2012
-175.5,-19.5,1/12/2012,12:00,2012,1,12,184.5,-175.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,0.775,33.696,0.775,33.696,1/12/2012
-174.5,-21.5,1/12/2012,12:00,2012,1,12,185.5,-174.5,-21.5,16,0.1,6.25,0,0,0,0,0,0,0,0,1.25,78.125,1.35,84.375,1/12/2012
-175.5,-19.5,1/13/2012,12:00,2012,1,13,184.5,-175.5,-19.5,23,0,0,0,0,0,0,0,0,0,0,1.38,60,1.38,60,1/13/2012
