lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-175.5,-20.5,1/5/2011,12:00,2011,1,5,184.5,-175.5,-20.5,15.4,0.16,10.39,0.13,8.442,0,0,0,0,0,0,0.05,3.247,0.34,22.078,1/5/2011
-176.5,-19.5,1/6/2011,12:00,2011,1,6,183.5,-176.5,-19.5,26.86,0.396,14.743,0.02,0.745,0,0,0,0,0,0,0.24,8.935,0.656,24.423,1/6/2011
-175.5,-20.5,1/6/2011,12:00,2011,1,6,184.5,-175.5,-20.5,15.4,0.165,10.714,0,0,0,0,0,0,0,0,0.1,6.494,0.265,17.208,1/6/2011
-174.5,-21.5,1/6/2011,12:00,2011,1,6,185.5,-174.5,-21.5,20,0.324,16.2,0,0,0,0,0,0,0,0,0.06,3,0.384,19.2,1/6/2011
-175.5,-20.5,1/7/2011,12:00,2011,1,7,184.5,-175.5,-20.5,14.8,0.07,4.73,0.085,5.743,0,0,0,0,0,0,0.185,12.5,0.34,22.973,1/7/2011
-174.5,-19.5,1/7/2011,12:00,2011,1,7,185.5,-174.5,-19.5,33.83,1.775,52.468,0.032,0.946,0,0,0,0,0,0,0.25,7.39,2.057,60.804,1/7/2011
-175.5,-21.5,1/8/2011,12:00,2011,1,8,184.5,-175.5,-21.5,15.1,0.275,18.212,0.12,7.947,0,0,0,0,0,0,0.24,15.894,0.635,42.053,1/8/2011
-174.5,-20.5,1/8/2011,12:00,2011,1,8,185.5,-174.5,-20.5,20,0.216,10.8,0,0,0,0,0,0,0,0,0.06,3,0.276,13.8,1/8/2011
-175.5,-21.5,1/9/2011,12:00,2011,1,9,184.5,-175.5,-21.5,15.1,0.325,21.523,0.085,5.629,0,0,0,0,0,0,0.33,21.854,0.74,49.007,1/9/2011
-174.5,-20.5,1/9/2011,12:00,2011,1,9,185.5,-174.5,-20.5,20,0.234,11.7,0,0,0,0,0,0,0,0,0.08,4,0.314,15.7,1/9/2011
-175.5,-21.5,1/10/2011,12:00,2011,1,10,184.5,-175.5,-21.5,15.1,0.07,4.636,0.015,0.993,0,0,0,0,0,0,0.255,16.887,0.34,22.517,1/10/2011
-173.5,-21.5,1/10/2011,12:00,2011,1,10,186.5,-173.5,-21.5,20,0.36,18,0,0,0,0,0,0,0,0,0.11,5.5,0.47,23.5,1/10/2011
-173.5,-20.5,1/11/2011,12:00,2011,1,11,186.5,-173.5,-20.5,20,0.594,29.7,0,0,0,0,0,0,0,0,0.06,3,0.654,32.7,1/11/2011
-174.5,-20.5,1/13/2011,12:00,2011,1,13,185.5,-174.5,-20.5,28,0.645,23.036,0,0,0,0,0,0,0,0,0.067,2.393,0.712,25.429,1/13/2011
-175.5,-20.5,1/16/2011,12:00,2011,1,16,184.5,-175.5,-20.5,17,0.272,16,0,0,0,0,0,0,0,0,0.355,20.882,0.627,36.882,1/16/2011
-174.5,-16.5,1/16/2011,12:00,2011,1,16,185.5,-174.5,-16.5,15.4,0.285,18.506,0.07,4.545,0,0,0,0,0,0,0.42,27.273,0.775,50.325,1/16/2011
-176.5,-20.5,1/17/2011,12:00,2011,1,17,183.5,-176.5,-20.5,17,0.221,13,0,0,0,0,0,0,0,0,0.175,10.294,0.396,23.294,1/17/2011
-174.5,-17.5,1/17/2011,12:00,2011,1,17,185.5,-174.5,-17.5,15.5,0.465,30,0,0,0,0,0,0,0,0,0.385,24.839,0.85,54.839,1/17/2011
-176.5,-20.5,1/18/2011,12:00,2011,1,18,183.5,-176.5,-20.5,17,0.408,24,0.015,0.882,0,0,0,0,0,0,0.755,44.412,1.178,69.294,1/18/2011
-174.5,-17.5,1/18/2011,12:00,2011,1,18,185.5,-174.5,-17.5,15.5,0.275,17.742,0,0,0,0,0,0,0,0,0.31,20,0.585,37.742,1/18/2011
-177.5,-24.5,1/19/2011,12:00,2011,1,19,182.5,-177.5,-24.5,28,0.714,25.5,0,0,0,0,0,0,0,0,0.06,2.143,0.774,27.643,1/19/2011
-175.5,-20.5,1/19/2011,12:00,2011,1,19,184.5,-175.5,-20.5,17,0.17,10,0,0,0,0,0,0,0,0,0.27,15.882,0.44,25.882,1/19/2011
-174.5,-17.5,1/19/2011,12:00,2011,1,19,185.5,-174.5,-17.5,15.5,0.13,8.387,0,0,0,0,0,0,0,0,0.21,13.548,0.34,21.935,1/19/2011
