lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-175.5,-20.5,1/3/2003,12:00,2003,1,3,184.5,-175.5,-20.5,41,0.245,5.976,0.025,0.61,0,0,0,0,0,0,0.21,5.122,0.48,11.707,1/3/2003
-174.5,-22.5,1/3/2003,12:00,2003,1,3,185.5,-174.5,-22.5,23,0.22,9.565,0.08,3.478,0,0,0,0,0,0,0.03,1.304,0.33,14.348,1/3/2003
-176.5,-20.5,1/4/2003,12:00,2003,1,4,183.5,-176.5,-20.5,21,0.144,6.857,0.06,2.857,0,0,0.01,0.476,0,0,0.26,12.381,0.474,22.571,1/4/2003
-175.5,-20.5,1/4/2003,12:00,2003,1,4,184.5,-175.5,-20.5,21,0.12,5.714,0,0,0,0,0,0,0,0,0.13,6.19,0.25,11.905,1/4/2003
-177.5,-22.5,1/5/2003,12:00,2003,1,5,182.5,-177.5,-22.5,23,0.6,26.087,0.03,1.304,0,0,0,0,0,0,0.08,3.478,0.71,30.87,1/5/2003
-176.5,-21.5,1/5/2003,12:00,2003,1,5,183.5,-176.5,-21.5,24,0.38,15.833,0.04,1.667,0,0,0,0,0,0,0.12,5,0.54,22.5,1/5/2003
-176.5,-20.5,1/5/2003,12:00,2003,1,5,183.5,-176.5,-20.5,21,0.126,6,0.01,0.476,0,0,0.005,0.238,0,0,0.15,7.143,0.291,13.857,1/5/2003
-175.5,-21.5,1/5/2003,12:00,2003,1,5,184.5,-175.5,-21.5,21,0.22,10.476,0.04,1.905,0,0,0,0,0,0,0.11,5.238,0.37,17.619,1/5/2003
-176.5,-22.5,1/6/2003,12:00,2003,1,6,183.5,-176.5,-22.5,23,0.3,13.043,0,0,0,0,0,0,0,0,0.11,4.783,0.41,17.826,1/6/2003
-176.5,-21.5,1/6/2003,12:00,2003,1,6,183.5,-176.5,-21.5,24,0.36,15,0.04,1.667,0,0,0,0,0,0,0.2,8.333,0.6,25,1/6/2003
-176.5,-20.5,1/6/2003,12:00,2003,1,6,183.5,-176.5,-20.5,41,0.171,4.171,0.075,1.829,0,0,0,0,0,0,0.55,13.415,0.796,19.415,1/6/2003
-175.5,-21.5,1/6/2003,12:00,2003,1,6,184.5,-175.5,-21.5,21,0.22,10.476,0,0,0,0,0,0,0,0,0.24,11.429,0.46,21.905,1/6/2003
-177.5,-22.5,1/7/2003,12:00,2003,1,7,182.5,-177.5,-22.5,45,0.6,13.333,0,0,0,0,0,0,0,0,0.08,1.778,0.68,15.111,1/7/2003
-176.5,-21.5,1/7/2003,12:00,2003,1,7,183.5,-176.5,-21.5,45,0.19,4.222,0.04,0.889,0,0,0.005,0.111,0,0,0.205,4.556,0.44,9.778,1/7/2003
-176.5,-20.5,1/7/2003,12:00,2003,1,7,183.5,-176.5,-20.5,20,0.18,9,0.005,0.25,0,0,0,0,0,0,0.1,5,0.285,14.25,1/7/2003
-175.5,-21.5,1/7/2003,12:00,2003,1,7,184.5,-175.5,-21.5,45,0.48,10.667,0.02,0.444,0,0,0,0,0,0,0.43,9.556,0.93,20.667,1/7/2003
-176.5,-22.5,1/8/2003,12:00,2003,1,8,183.5,-176.5,-22.5,44,0.6,13.636,0.02,0.455,0,0,0,0,0,0,0.26,5.909,0.88,20,1/8/2003
-176.5,-21.5,1/8/2003,12:00,2003,1,8,183.5,-176.5,-21.5,48,0.28,5.833,0.11,2.292,0,0,0,0,0,0,0.12,2.5,0.51,10.625,1/8/2003
-176.5,-20.5,1/8/2003,12:00,2003,1,8,183.5,-176.5,-20.5,41,0.124,3.024,0.13,3.171,0,0,0.005,0.122,0,0,0.2,4.878,0.459,11.195,1/8/2003
-175.5,-21.5,1/8/2003,12:00,2003,1,8,184.5,-175.5,-21.5,24,0.06,2.5,0.075,3.125,0,0,0,0,0,0,0.05,2.083,0.185,7.708,1/8/2003
-174.5,-16.5,1/8/2003,12:00,2003,1,8,185.5,-174.5,-16.5,24,0.3,12.5,0.03,1.25,0,0,0,0,0,0,0.03,1.25,0.36,15,1/8/2003
-176.5,-21.5,1/9/2003,12:00,2003,1,9,183.5,-176.5,-21.5,22,0.22,10,0.03,1.364,0,0,0,0,0,0,0.06,2.727,0.31,14.091,1/9/2003
-176.5,-20.5,1/9/2003,12:00,2003,1,9,183.5,-176.5,-20.5,20,0.105,5.25,0.09,4.5,0,0,0,0,0,0,0.06,3,0.255,12.75,1/9/2003
-175.5,-21.5,1/9/2003,12:00,2003,1,9,184.5,-175.5,-21.5,69,0.176,2.551,0.09,1.304,0,0,0.015,0.217,0,0,0.38,5.507,0.661,9.58,1/9/2003
-175.5,-17.5,1/9/2003,12:00,2003,1,9,184.5,-175.5,-17.5,24,0.3,12.5,0.03,1.25,0,0,0,0,0,0,0.03,1.25,0.36,15,1/9/2003
-176.5,-20.5,1/10/2003,12:00,2003,1,10,183.5,-176.5,-20.5,20,0.06,3,0,0,0,0,0,0,0,0,0.16,8,0.22,11,1/10/2003
-175.5,-21.5,1/10/2003,12:00,2003,1,10,184.5,-175.5,-21.5,44,0.168,3.818,0,0,0,0,0.02,0.455,0,0,0.34,7.727,0.528,12,1/10/2003
-175.5,-19.5,1/10/2003,12:00,2003,1,10,184.5,-175.5,-19.5,24,0.08,3.333,0.1,4.167,0,0,0,0,0,0,0.14,5.833,0.32,13.333,1/10/2003
-175.5,-16.5,1/10/2003,12:00,2003,1,10,184.5,-175.5,-16.5,24,0.25,10.417,0.2,8.333,0,0,0,0,0,0,0.02,0.833,0.47,19.583,1/10/2003
-174.5,-19.5,1/10/2003,12:00,2003,1,10,185.5,-174.5,-19.5,24,0.1,4.167,0.06,2.5,0,0,0,0,0,0,0.08,3.333,0.24,10,1/10/2003
-173.5,-21.5,1/10/2003,12:00,2003,1,10,186.5,-173.5,-21.5,20,0.195,9.75,0.06,3,0,0,0,0,0,0,0.42,21,0.675,33.75,1/10/2003
-175.5,-21.5,1/11/2003,12:00,2003,1,11,184.5,-175.5,-21.5,42,0.265,6.31,0.05,1.19,0,0,0,0,0,0,0.22,5.238,0.535,12.738,1/11/2003
-175.5,-19.5,1/11/2003,12:00,2003,1,11,184.5,-175.5,-19.5,48,0.1,2.083,0.2,4.167,0,0,0,0,0,0,0.24,5,0.54,11.25,1/11/2003
-175.5,-16.5,1/11/2003,12:00,2003,1,11,184.5,-175.5,-16.5,24,0.55,22.917,0.16,6.667,0,0,0,0,0,0,0.06,2.5,0.77,32.083,1/11/2003
-174.5,-22.5,1/11/2003,12:00,2003,1,11,185.5,-174.5,-22.5,24,0.4,16.667,0.09,3.75,0,0,0,0,0,0,0.05,2.083,0.54,22.5,1/11/2003
-173.5,-21.5,1/11/2003,12:00,2003,1,11,186.5,-173.5,-21.5,20,0.315,15.75,0.03,1.5,0,0,0,0,0,0,0.24,12,0.585,29.25,1/11/2003
-175.5,-20.5,1/12/2003,12:00,2003,1,12,184.5,-175.5,-20.5,22,0.3,13.636,0.04,1.818,0,0,0,0,0,0,0.14,6.364,0.48,21.818,1/12/2003
-173.5,-21.5,1/12/2003,12:00,2003,1,12,186.5,-173.5,-21.5,40.3,0.62,15.385,0.17,4.218,0,0,0,0,0,0,0.18,4.467,0.97,24.069,1/12/2003
-175.5,-16.5,1/13/2003,12:00,2003,1,13,184.5,-175.5,-16.5,24,0.25,10.417,0.07,2.917,0,0,0,0,0,0,0,0,0.32,13.333,1/13/2003
-174.5,-22.5,1/13/2003,12:00,2003,1,13,185.5,-174.5,-22.5,24,0.34,14.167,0,0,0,0,0,0,0,0,0,0,0.34,14.167,1/13/2003
-174.5,-20.5,1/13/2003,12:00,2003,1,13,185.5,-174.5,-20.5,24,0.02,0.833,0.12,5,0,0,0,0,0,0,0.15,6.25,0.29,12.083,1/13/2003
-174.5,-19.5,1/13/2003,12:00,2003,1,13,185.5,-174.5,-19.5,24,0.04,1.667,0.1,4.167,0,0,0,0,0,0,0.3,12.5,0.44,18.333,1/13/2003
-173.5,-21.5,1/13/2003,12:00,2003,1,13,186.5,-173.5,-21.5,19.3,0.225,11.658,0.03,1.554,0,0,0,0,0,0,0.06,3.109,0.315,16.321,1/13/2003
-174.5,-22.5,1/14/2003,12:00,2003,1,14,185.5,-174.5,-22.5,24,0.24,10,0.04,1.667,0,0,0,0,0,0,0.03,1.25,0.31,12.917,1/14/2003
-175.5,-19.5,1/15/2003,12:00,2003,1,15,184.5,-175.5,-19.5,24,0.04,1.667,0,0,0,0,0,0,0,0,0.51,21.25,0.55,22.917,1/15/2003
-173.5,-21.5,1/15/2003,12:00,2003,1,15,186.5,-173.5,-21.5,19.3,0.03,1.554,0.06,3.109,0,0,0,0,0,0,0.03,1.554,0.12,6.218,1/15/2003
